시설명,주소,좌석수/면적,사용용도,주요보유장비 및 설비,성명,전화번호,소유기관,비 고
동산교회(부설),경기도 부천시 소사구 범안로58번길 7  (괴안동),120,교육관,"무대,조명,빔프로젝트,스크린",동산교회,032-341-3927,종교기관,
롯데백화점 문화홀(10층),경기도 부천시 원미구 길주로 300  (중동),200,소공연장,"무대,조명,빔프로젝트,스크린",롯데백화점,032-320-7900,민간기관,
무형문화재 부천전수관,경기도 부천시 오정구 원미로281번길 75  (여월동),190,교육관,"무대,빔프로젝트,스크린",부천시(문화예술과),032-673-0480,공공기관,
복사골문화센터 갤러리,경기도 부천시 원미구 장말로 107  (상동),356,전시관,"전시대,조명,전기",부천부천문화재단,032-320-6300,공공기관,
복사골문화센터 아트홀,경기도 부천시 원미구 장말로 107 (상동),626,대공연장,"무대,조명,상영,스크린",부천문화재단,032-320-6300,공공기관,
복사골문화센터 체육관,경기도 부천시 원미구 장말로 107  (상동),250,체육관,스크린,부천문화재단,032-320-6300,공공기관,
부천고등학교,경기도 부천시 소사구 경인로92번길 70  (송내동),321,체육관,"무대,조명,빔프로젝트,스크린",부천고등학교,032-665-5155,부천고등학교,
부천공예체험교육관,경기도 부천시 원미구 소사로 482  (춘의동),70,교육관,"빔프로젝트,스크린",부천시(기업지원과),032-611-7376,공공기관,
부천남부역광장 야외공연장,경기도 부천시 심곡본동550,175,야외공연장,"무대, 조명, 전기",소사구(행정지원과),032-625-6022,공공기관,
부천남초등학교,경기도 부천시 소사구 성주로270번길 16-1  (심곡본동),3142,체육관,"무대,조명,빔프로젝트,스크린",부천남초등학교,070-7099-9576,부천남초등학교,
부천동여자중학교,경기도 부천시 소사구 경인로484번길 36  (괴안동),1206,체육관,"빔프로젝트, 스크린",부천동여자중학교,032-343-9712,부천동여자중학교,
부천시 시민학습원,경기도 부천시 원미구 부흥로 403  (심곡동),60,교육관,"빔프로젝트, 스크린/교육관5개소",부천시(교육청소년과),032-625-2854,공공기관,5개소/1
부천시 장애인 종합복지관,경기도 부천시 오정구 역곡로 367  (작동),180,강당,"무대,음향,빔프로젝트,스크린",부천시장애인종합복지관,032-670-1100,공공기관,
부천시민방위교육장,경기도 부천시 원미구 삼작로280번길 53-6  (도당동),418,교육관,"무대,앰프,빔프로젝트,스크린",부천시(안전총괄과),032-625-4034,공공기관,
부천시의회 갤러리,경기도 부천시 원미구 길주로 210  (중동),272,전시관,"전시대,조명, 전기",부천시(문화예술과),032-625-3118,공공기관,
부천시청 아트센터,경기도 부천시 원미구 길주로 210  (중동),204,전시관,"전시대,조명, 전기",부천시(문화예술과),032-625-3118,공공기관,
부천시청역 갤러리,경기도 부천시 원미구 길주로 지하202  (중동),400,전시관,"전시대,조명, 전기",부천시(문화예술과),032-625-3118,공공기관,
부천여성청소년센터,경기도 부천시 원미구 부천로122번길 60  (원미동),110,교육관,"무대,조명 빔프로젝트,스크린",부천문화재단,032-665-0925,공공기관,
부천여자중학교,경기도 부천시 소사구 성주로23번길 22  (송내동),1275,체육관,"무대,조명,빔프로젝트,스크린",부천여자중학교,032-666-5831,부천여자중학교,
부천역 문예전시관,경기도 부천시 소사구 부천로 1  (심곡본동),208,전시관,"전시대,조명,전기",부천시(문화예술과),032-625-3118,공공기관,
부천역 문화한마당,경기도 부천시 소사구 부천로 1  (심곡본동),50,공연장(무대),"무대,조명, 앰프",부천역 문화한마당,032-656-4111,코레일,
부천역곡초등학교,경기도 부천시 원미구 역곡로65번길 12  (역곡동),616,강당,"무대,조명,빔프로젝트, 스크린, 앰프",부천역곡초등학교,032-349-4863,부천역곡초등학교,
부천제일교회,경기도 부천시 소사구 하우로306번길 12  (심곡본동),400,교육관,"무대,조명,빔프로젝트,스크린",제일감리교회,032-663-6741,종교기관,
부천종합사회복지관,경기도 부천시 소사구 호현로489번길 50  (소사본동),100,강당,"빔프로젝트,스크린",부천신학대학교,032-349-3100,공공기관,
부천종합운동장 야외공연장,경기도 부천시 원미구 소사로 482  (춘의동),500,야외공연장,"무대, 전기",시설관리공단,032-340-0873,공공기관,
부천체육관,경기도 부천시 원미구 석천로 293  (중동),6200,체육관,"무대,스크린",시설관리공단,032-326-5987,공공기관,
북카페 에스파소,경기도 부천시 원미구 길주로 276  (중동),40,카페(공연),"빔프로젝트,스크린,전시",북카페 에스파소,032-322-3424,민간기관,
산새공원야외음악당,경기도 부천시 소사본동 산74,200,야외공연장,"무대, 전기, 의자",부천시(공원과),032-625-3498,공공기관,
산울림청소년수련관,경기도 부천시 원미구 역곡로 149-65 (춘의동),100,소공연장,"무대,조명,빔프로젝트,스크린",부천문화재단,032-344-4480,공공기관,
산울림청소년수련관,경기도 부천시 원미구 역곡로 149-65  (춘의동),120,체육관,"무대,조명 빔프로젝트,스크린",부천문화재단,032-344-4480,공공기관,
삼정복지회관,경기도 부천시 오정구 삼작로 52  (삼정동),230,강당,"무대,조명,빔프로젝트,스크린",동광교회,032-323-3162,공공기관,
상동 21세기교회,경기도 부천시 원미구 계남로 65  (상동),110,교육관,"무대,조명,빔프로젝트,스크린",상동 21세기교회,032-245-1004,종교기관,
상동종합사회복지관,경기도 부천시 원미구 석천로16번길 44 (상동),100,강당,"빔프로젝트,스크린",상동종합사회복지관,032-652-0420,공공기관,
서울신학대학교,경기도 부천시 소사구 호현로489번길 52  (소사본동),2000,공연장(대강당),"무대,빔프로젝트,스크린",서울신학대학교,032-340-9172,서울신학대학교,
서촌말 야외공연장,경기도 부천시 송내동 696-1,33,야외공연장,"무대, 전기, 의자",소사구(도시관리과),032-625-6443,공공기관,
석왕사,경기도 부천시 원미구 소사로 367  (원미동),1000,야외공연장,전기,석왕사,032-663-7771,종교기관,
성가요양원,경기도 부천시 원미구 소사로 327  (소사동),130,강당,"빔프로젝트,스크린",성가요양원,032-340-5100,민간기관,
성문교회,경기도 부천시 원미구 조마루로97번길 18  (상동),80,교육관,"빔프로젝트, 스크린",성문교회,032-328-0051,종교기관,
성주중학교,경기도 부천시 소사구 성주로 24  (송내동),1210,체육관,"빔프로젝트, 스크린",성주중학교,070-7099-8804,성주중학교,
소명여자고등학교,경기도 부천시 원미구 부일로571번길 84  (소사동),2623,체육관,"빔프로젝트, 스크린",소명여자고등학교,032-349-5522,소명여자고등학교,
소사구 노인복지회관,경기도 부천시 소사구 범안로 38 (괴안동),180,강당,"무대, 조명, 스크린",기둥교회,032-347-9534,공공기관,
소사구청 소향관,경기도 부천시 소사구 경인옛로 73 (소사본동),303,소공연장,"무대,조명,상영,스크린",소사구(행정지원과),032-625-6022,공공기관,
소사구청대회의실,경기도 부천시 소사구 경인옛로 73 (소사본동),150,강당,"빔프로젝트,스크린",소사구(행정지원과),032-625-6016,공공기관,
소사국민체육관,경기도 부천시 소사구 소사로 108  (소사본동),656,체육관,스크린,시설관리공단,032-344-8986,공공기관,
소향갤러리,경기도 부천시 소사구 경인옛로 73  (소사본동),69,전시관,"전시대,조명,전기",소사구(민원지적과),032-625-6123,공공기관,
솔안공원 야외공연장,경기도 부천시 원미구 부일로 246  (상동),120,야외공연장,"무대, 조명",원미구(공원녹지과),032-625-5408,공공기관,
송내사회체육관,경기도 부천시 소사구 경인로120번길 45  (송내동),600,체육관,스크린,석왕사,032-668-6300,공공기관,
수주중학교,경기도 부천시 오정구 역곡로 524 (고강동),617,강당,"빔프로젝트, 스크린",수주중학교,070-7099-9557,수주중학교,
순복음부천교회,경기도 부천시 원미구 원미로164번길 19-28  (원미동),250,교육관,"무대, 조명,빔프로젝트,스크린",순복음부천교회,032-657-9871,종교기관,
시민회관 소공연장,경기도 부천시 원미구 부일로 365 (중동),348,소공연장,"무대,조명,상영,스크린",부천문화재단,032-320-6300,공공기관,
시청소통마당,경기도 부천시 원미구 길주로 210 (중동),150,강당,"빔프로젝트,스크린",부천시(행정지원과),032-625-2235,공공기관,
시청어울마당,경기도 부천시 원미구 길주로 210 (중동),535,공연장(대강당),"무대,조명,상영,스크린",부천시(행정지원과),032-625-2235,공공기관,
아인스월드 야외공연장,경기도 부천시 원미구 길주로 1  (상동),41,야외공연장,"무대, 조명, 앰프",아인스월드,032-320-6013,아인스월드,2개소/1
안중근공원 야외공연장,경기도 부천시 원미구 송내대로 236  (중동),25,야외공연장,"무대,전기",원미구(행정지원과),032-625-5023,공공기관,
약대교회,경기도 부천시 원미구 신흥로 307  (약대동),70,교육관,"빔프로젝트, 스크린",약대교회,032-679-8936,종교기관,
여의도순복음중동교회,경기도 부천시 원미구 길주로 263  (중동),900,교육관,"무대,조명,빔프로젝트,스크린",여의도순복음중동교회,032-325-8291,종교기관,
역곡감리교회,경기도 부천시 원미구 지봉로 91  (역곡동),130,교육관,"무대,빔프로젝트,스크린",역곡감리교회,032-345-7471,종교기관,
역곡동교회,경기도 부천시 원미구 역곡로46번길 61  (역곡동),150,교육관,"빔프로젝트,스크린",역곡동교회,032-344-7811,종교기관,
역곡양묘장 야외공연장,경기도 부천시 원미구 역곡로 119 (역곡동),120,야외공연장,"무대, 전기",부천시(녹지과),032-625-3572,공공기관,
역곡역(열린마당)야외공연장,경기도 부천시 소사구 경인로425번길 168  (괴안동),30,야외공연장,"무대,현수막게시대",소사구(행정지원과),032-625-6022,공공기관,
오정공원 야외공연장,경기도 부천시 오정구 상오정로 169  (오정동),100,야외공연장,"무대, 전기",부천시(공원과),032-625-3498,공공기관,
오정구청대회의실,경기도 부천시 오정구 성오로 172 (오정동),150,강당,"빔프로젝트,스크린",오정구(행정지원과),032-625-7016,공공기관,
오정레포츠센터,경기도 부천시 오정구 상오정로 169  (오정동),150,체육관,"무대,스크린",부천시(체육진흥과),032-625-2498,공공기관,
오정사랑갤러리,경기도 부천시 오정구 성오로 172  (오정동),45,전시관,"전시대,조명, 전기",오정구(민원지적과),032-625-7122,공공기관,
오정아트홀,경기도 부천시 오정구 성오로 172 (오정동),404,소공연장,"무대,조명,상영,스크린",부천문화재단,032-677-1844,공공기관,
옥산초등학교,경기도 부천시 원미구 길주로 327  (중동),6662,체육관,스크린,옥산초등학교,032-326-4491,옥산초등학교,
원미구 노인복지회관,경기도 부천시 원미구 부흥로424번길 25  (심곡동),230,강당,"무대,조명,빔프로젝트,스크린",연꽃마을,032-667-0261,공공기관,
원미구청다목적회의실,경기도 부천시 원미구 부천로136번길 27 (원미동),50,강당,"빔프로젝트,스크린",원미구(행정지원과),032-625-5016,공공기관,
원미구청대회의실,경기도 부천시 원미구 부천로136번길 27 (원미동),200,강당,"빔프로젝트,스크린",원미구(행정지원과),032-625-5016,공공기관,
원미초등학교,경기도 부천시 원미구 부흥로 423  (심곡동),840,강당,"빔프로젝트, 스크린",원미초등학교,032-652-0246,원미초등학교,
원종종합사회복지관,경기도 부천시 오정구 성오로140번길 12 (오정동),65,강당,"빔프로젝트,스크린",원종종합사회복지관,032-677-0108,공공기관,
유한대학교,경기도 부천시 소사구 경인로 590  (괴안동),400,강당,"무대,조명,빔프로젝트,스크린",유한대학교,02-2610-0656,유한대학교,
은데미 야외공연장,경기도 부천시 오정구 소사로 835 (원종동),200,야외공연장,"무대, 전기",오정구(행정지원과),032-625-7024,공공기관,
자연생태박물관,경기도 부천시 원미구 길주로 660 (춘의동),150,공연장(상영관),"무대,조명,빔프로젝트,스크린",부천시(녹색농정과),032-625-2813,공공기관,
자전거문화센터,경기도 부천시 오정구 상오정로 169  (오정동),49,교육관,"빔프로젝트, 스크린",부천시(도로과),032-625-2336,공공기관,
정명정보고등학교,경기도 부천시 소사구 심곡로 100  (심곡본동),1372,체육관,앰프,정명정보고,032-652-1701,정명정보고등학교,
중동교회,경기도 부천시 원미구 상일로 48  (상동),120,교육관,"무대,조명,빔프로젝트,스크린",중동교회,032-322-5599,종교기관,
중앙공원야외음악당,경기도 부천시 원미구 석천로112번길 35  (중동),360,야외공연장,"무대, 조명,전기",부천시(문화예술과),032-625-3113,공공기관,
진달래동산 야외공연장,경기도 부천시 춘의동 산20 춘덕산진달래동산,300,야외공연장,"무대, 전기",원미구(공원녹지과),032-625-5408,공공기관,
참빛교회,경기도 부천시 원미구 송내대로265번길 29  (상동),220,교육관,"무대,조명,빔프로젝트,스크린",참빛교회,032-323-1004,종교기관,
창영초등학교,경기도 부천시 소사구 은성로 109-26 (괴안동),646,강당,"빔프로젝트, 스크린",창영초등학교,032-341-8225,창영초등학교,
청소년 문화예술동아리(라온),경기도 부천시 소사구 경인옛로38번길 41  (소사본동),91.5,교육관(연습장),앰프 컴퓨터 등,부천시(문화예술과),032-625-3126,공공기관,
테크노파크 교육문화센터,경기도 부천시 오정구 삼작로 22  (삼정동) 1단지 관리동303,30,교육관,"빔프로젝트,스크린",노동복지회관,032-327-1955,공공기관,
투나야외공연장,경기도 부천시 원미구 부일로 223 (상동),100,야외공연장,"무대, 조명, 앰프",투나(홍보실),032-622-7042,민간기관,
풍성한교회,경기도 부천시 원미구 계남로 163  (중동),200,교육관,"무대,조명,빔프로젝트,스크린",풍성한교회,032-322-5030,종교기관,
한국만화영상진흥원 상영관,경기도 부천시 원미구 도약로 1 (상동),400,공연장(상영관),"무대,조명,상영,스크린",한국만화영상진흥원,032-310-3093,공공기관,
한국만화영상진흥원 야외공연장,경기도 부천시 원미구 길주로 1  (상동),80,야외공연장,"무대, 전기, 의자",한국만화영상진흥원,032-310-3093,공공기관,
현대백화점 야외공연장,경기도 부천시 원미구 길주로 180  (중동),60,야외공연장,"무대, 전기",현대백화점,032-623-3197,민간기관,
현대백화점가네트홀(9층),경기도 부천시 원미구 길주로 180  (중동),200,소공연장,"무대,조명,빔프로젝트,스크린",현대백화점,032-623-3197,민간기관,
부천문화원,경기도 부천시 경인로92번길 33(송내동),,갤러리 및 교실,전시대,부천문화원,032-651-3739,유관기관,
송내어울마당,경기도 부천시 경인로92번길 33(송내동),14693,복합문화시설,전시관 카페,송내어울마당,032-340-5346,공공기관,
