시도명,시군구명,어린이집코드,어린이집명,어린이집유형구분,운영현황,우편번호,상세주소,어린이집전화번호,어린이집팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,제공서비스,데이터기준일자
경기도,부천시,41195000247,건강한어린이집,가정,Y,14583,"경기도 부천시 조마루로 135 819동 103호 (중동, 포도마을 삼보,영남아파트)",032-324-9365,,http://cafe.naver.com/muppen,4,66,0,6,20,20,37.50106623,126.7592034,미운영,2007-07-02,,,,일반,2021-02-15
경기도,부천시,41199000013,경희키즈스쿨어린이집,민간,Y,14430,경기도 부천시 소사로793번길 41 (원종동),032-684-0012,032-678-0513,,11,450,3,35,170,152,37.52607969,126.8027681,운영,1997-05-03,,,,일반,2021-02-15
경기도,부천시,41190000028,고강1동어린이집,국공립,Y,14415,경기도 부천시 고강로72번길 8 (고강동),032-684-4900,032-684-6688,cafe.daum.net/gogangmi2,5,230,1,14,86,76,37.52944709,126.8119825,미운영,1997-07-31,,,,시간연장형,2021-02-15
경기도,부천시,41190000038,고강본동어린이집,국공립,Y,14469,경기도 부천시 지양로152번길 109 (고강동),032-675-6901,032-675-6908,,4,136,1,10,49,46,37.52289632,126.8201332,미운영,2007-01-01,,,,시간연장형,2021-02-15
경기도,부천시,41190000019,고강성심어린이집,국공립,Y,14409,경기도 부천시 고리울로 79 (고강동),032-679-9706,032-679-9747,www.gogang.or.kr,5,315,1,16,94,81,37.52704192,126.8248285,미운영,1999-04-06,,,,장애아통합,2021-02-15
경기도,부천시,41199000029,고강예쁜어린이집,민간,Y,14469,경기도 부천시 지양로158번길 5 (고강동),032-681-9754,032-681-9754,,4,99,0,8,27,23,37.52326101,126.8252623,운영,1993-12-20,,,,일반,2021-02-15
경기도,부천시,41199000012,고은빛어린이집,민간,Y,14475,경기도 부천시 삼작로396번길 100 (작동),032-679-2057,032-677-1413,,7,186,0,8,49,22,37.5154587,126.8065406,운영,1997-07-03,,,,일반,2021-02-15
경기도,부천시,41195000286,곰돌이어린이집,가정,Y,14597,"경기도 부천시 상일로 71 1808동 104호 (상동, 반달마을 건영,동아,선경아파트)",032-237-1011,,,4,43,0,5,16,16,37.49286593,126.7508196,미운영,2009-03-17,,,,일반,2021-02-15
경기도,부천시,41190000015,괴안어린이집,국공립,Y,14697,경기도 부천시 범안로36번길 6 (괴안동),032-343-7793,032-342-7793,,4,155,2,10,57,54,37.47870175,126.8068744,미운영,1997-03-01,,,,시간연장형,2021-02-15
경기도,부천시,41195000038,구름빵어린이집,가정,Y,14597,"경기도 부천시 장말로 102 1829동 104호 (상동, 반달마을 삼익아파트)",032-324-4903,,cafe.daum.net/cloud-child,3,58,0,7,20,19,37.49343333,126.7529304,미운영,2001-12-11,,,,일반,2021-02-15
경기도,부천시,41197000131,그린나래어린이집,민간,Y,14734,경기도 부천시 심곡로46번길 113 (송내동),032-666-2405,032-666-2405,,8,109,0,8,39,35,37.48008572,126.7689323,미운영,1994-01-27,,,,일반,2021-02-15
경기도,부천시,41195000324,그린비브레인어린이집,민간,Y,14627,경기도 부천시 심중로35번길 26 (중동),032-652-5940,032-652-8524,,9,175,1,10,66,58,37.48689249,126.7716752,운영,2012-11-01,,,,일반,2021-02-15
경기도,부천시,41195000226,그린비아이어린이집,민간,Y,14627,경기도 부천시 심중로35번길 24-1 1~3층 (중동),032-663-2376,,,9,130,0,9,45,34,37.48694829,126.7718657,운영,2006-11-03,,,,일반,2021-02-15
경기도,부천시,41195000215,그린숲어린이집,가정,Y,14581,"경기도 부천시 조마루로 278 1327동 103호 (중동, 그린타운 우성2차아파트)",032-324-7557,032-324-7557,,4,60,0,7,19,18,37.49735234,126.7752312,미운영,1998-03-04,,,,일반,2021-02-15
경기도,부천시,41195000225,그린아이어린이집,가정,Y,14581,"경기도 부천시 부흥로 237 1313동 101호 (중동, 그린타운 한신아파트)",032-322-2005,032-322-2005,,4,69,0,6,20,20,37.49754417,126.7693729,미운영,2006-10-25,,,,일반,2021-02-15
경기도,부천시,41197000162,그림그리는어린이집,가정,Y,14774,"경기도 부천시 소사로78번길 42 104동 103호 (소사본동, 풍림아파트)",032-346-9868,,,3,63,0,6,20,19,37.46542117,126.8014233,운영,2000-03-18,,,,일반,2021-02-15
경기도,부천시,41199000086,그림나라어린이집,민간,Y,14428,경기도 부천시 성오로 148-3 (오정동),032-684-6767,032-673-1043,,7,122,0,7,46,20,37.52687443,126.7980854,운영,2004-11-03,,,,일반,2021-02-15
경기도,부천시,41190000005,근로복지공단 부천어린이집,법인·단체,Y,14480,경기도 부천시 수도로206번길 54-14 (도당동),032-672-1727,032-672-1729,http://www.kcomwel.or.kr/kids-bucheon/,11,783,2,31,179,166,37.51817759,126.787598,운영,2002-02-14,,,,일반,2021-02-15
경기도,부천시,41190000281,글로벌광음어린이집,민간,Y,14594,"경기도 부천시 상이로 92 1층 (상동, 광음교회)",032-325-5400,032-325-5400,,7,218,1,10,58,40,37.49681074,126.7445914,운영,2018-03-05,,,,일반,2021-02-15
경기도,부천시,41197000174,금나라삼익어린이집,가정,Y,14699,"경기도 부천시 안곡로 4 203동 103호 (괴안동, 삼익아파트)",032-342-5453,032-342-5453,,3,66,0,7,20,20,37.47731217,126.803204,미운영,2009-04-13,,,,시간연장형,2021-02-15
경기도,부천시,41199000010,금빛어린이집,민간,Y,14409,경기도 부천시 고리울로 86-12 (고강동),032-683-8182,032-683-8183,,5,225,1,13,85,63,37.52620758,126.8255544,운영,2006-02-01,,,,일반,2021-02-15
경기도,부천시,41195000243,금빛은빛어린이집,민간,A,14553,경기도 부천시 조마루로371번길 56 (춘의동),032-667-5002,032-653-0882,,4,85,0,4,28,27,37.50049238,126.7858328,운영,2007-06-08,2010-10-21,2011-02-21,,일반,2021-02-15
경기도,부천시,41199000163,금호어울림 몬테소리 어린이집,민간,Y,14426,"경기도 부천시 소사로819번길 33 주민복지동 1층 (원종동, 원종동 금호 어울림)",032-677-4555,,,4,73,0,6,25,14,37.5281007,126.803669,미운영,2012-02-13,,,,일반,2021-02-15
경기도,부천시,41190000024,기둥어린이집,법인·단체,Y,14578,경기도 부천시 부흥로 353 (심곡동),032-664-6004,032-667-5658,Cafe.daum.net/pillarkid,6,307,2,13,95,78,37.49312549,126.7815385,미운영,1996-01-12,,,,일반,2021-02-15
경기도,부천시,41197000061,기쁜소리어린이집,가정,Y,14763,"경기도 부천시 소사로170번길 81 102동 103호 (소사본동, 한신아파트)",032-347-1799,031-316-6337,,4,61,0,7,20,19,37.4740322,126.8001643,미운영,2005-01-18,,,,일반,2021-02-15
경기도,부천시,41195000264,기쁨가득어린이집,가정,Y,14672,"경기도 부천시 부일로685번길 22 301동 105호 (역곡동, 역곡3차 한양수자인아파트)",032-343-3857,,,4,56,0,6,19,19,37.48513201,126.8062662,미운영,2008-05-29,,,,일반,2021-02-15
경기도,부천시,41197000013,기쁨어린이집,가정,Y,14766,경기도 부천시 은성로62번길 68 1층 (소사본동),032-348-1441,,,3,55,0,6,15,12,37.47217329,126.7974187,운영,2009-04-03,,,,일반,2021-02-15
경기도,부천시,41199000007,기쁨의어린이집,민간,Y,14412,경기도 부천시 소사로820번길 19 (원종동),032-682-5031,070-8706-6060,,7,192,1,8,72,21,37.52944744,126.8059432,운영,2003-05-30,,,,일반,2021-02-15
경기도,부천시,41195000065,꼬꼬마어린이집,가정,Y,14597,"경기도 부천시 장말로 102 1830동 102호 (상동, 반달마을 삼익아파트)",032-237-0317,032-237-0317,,3,65,0,6,20,20,37.4937188,126.7536466,미운영,2006-03-20,2014-03-21,2014-04-30,,일반,2021-02-15
경기도,부천시,41195000182,꼬마또래어린이집,가정,Y,14586,"경기도 부천시 조마루로 134 1103동 103호 (중동, 보람마을아주아파트)",032-325-0180,,,3,55,0,6,20,19,37.49870031,126.7584486,미운영,1996-04-23,,,,일반,2021-02-15
경기도,부천시,41195000239,꼬마별어린이집,가정,A,14596,"경기도 부천시 장말로 71 1511동 105호 (상동, 한아름마을 라이프, 현대1차아파트)",032-321-2766,,,3,63,0,6,20,19,37.49499574,126.7497787,미운영,2004-02-27,2010-11-16,2011-02-15,2008-11-20,일반,2021-02-15
경기도,부천시,41197000161,꼬마사랑어린이집,가정,Y,14729,"경기도 부천시 경인로29번길 32 8동 107호 (송내동, 우성아파트)",032-666-0151,032-666-0151,,4,63,0,9,20,14,37.48493956,126.7599711,미운영,2008-05-16,,,,시간연장형,2021-02-15
경기도,부천시,41197000052,꼬마숲로이어린이집,민간,Y,14724,경기도 부천시 경인로137번나길 2 (송내동),032-613-0090,032-613-0090,,6,143,0,11,47,47,37.48498719,126.7711356,운영,2006-06-16,,,,일반,2021-02-15
경기도,부천시,41197000035,꼬마어린이집,가정,Y,14684,"경기도 부천시 부광로30번길 14 104호(괴안동,남향아파트)",032-343-5495,032-344-5495,,4,62,0,7,19,19,37.48215937,126.8128417,미운영,2005-01-21,,,,시간연장형,2021-02-15
경기도,부천시,41190000247,꼬마천사어린이집,가정,Y,14538,"경기도 부천시 석천로 216 508동 101호 (중동, 은하마을 대우,동부아파트)",032-323-5081,,,3,68,0,7,20,18,37.5061465,126.7643202,미운영,2014-12-23,,,,일반,2021-02-15
경기도,부천시,41199000014,꼬망새어린이집,가정,Y,14472,경기도 부천시 삼작로416번길 50 1층 (원종동),032-684-5747,,,4,56,0,4,19,8,37.51776235,126.8082044,미운영,2005-07-04,,,,일반,2021-02-15
경기도,부천시,41190000266,꽃길어린이집,민간,Y,14786,"경기도 부천시 양지로 234-38 관리동 (옥길동, 엘에이치옥길센트럴힐)",032-344-9861,032-344-9861,,5,157,1,10,59,59,37.46231543,126.8251157,미운영,2017-07-13,,,,일반,2021-02-15
경기도,부천시,41195000171,꽃망울어린이집,가정,Y,14666,"경기도 부천시 역곡로58번길 11 101호(역곡동,동보프리미아아파트)",032-213-9534,,,3,38,0,5,14,14,37.49051168,126.8100019,미운영,2005-10-13,,,,일반,2021-02-15
경기도,부천시,41199000024,꽃비어린이집,가정,Y,14408,"경기도 부천시 고리울로16번길 4 3동 102호(고강동, 부영빌라)",032-683-5322,,,4,35,0,8,9,9,37.52741277,126.8175697,미운영,1998-03-13,,,,시간연장형,2021-02-15
경기도,부천시,41195000153,꾸러기어린이집,가정,Y,14663,"경기도 부천시 지봉로45번길 16-7 104호 (역곡동, 대명앙뜨레빌아파트)",032-611-6004,032-611-6004,cyworld.com/shin4263,3,55,0,8,20,13,37.48706108,126.8046376,미운영,1993-03-01,,,,일반,2021-02-15
경기도,부천시,41195000271,꿈꾸는사랑마을어린이집,가정,Y,14600,"경기도 부천시 부흥로 150 1615동 103호 (상동, 사랑마을 벽산,삼익,선경아파트)",070-7612-1852,032-213-1852,,4,59,0,6,20,20,37.49591026,126.7580617,미운영,2008-10-17,,,,일반,2021-02-15
경기도,부천시,41197000065,꿈꾸는어린이집,민간,Y,14728,경기도 부천시 성주로23번길 21-13 (송내동),032-612-1753,032-612-1725,,8,306,2,15,80,71,37.48222127,126.7609273,운영,1995-10-04,,,,일반,2021-02-15
경기도,부천시,41195000276,꿈나래어린이집,가정,Y,14613,"경기도 부천시 중동로 108 101동 105호 (중동, 팰리스카운티)",032-665-3003,032-656-3003,,4,59,0,6,19,19,37.49180781,126.7669886,미운영,2009-01-30,,,,일반,2021-02-15
경기도,부천시,41195000050,꿈나무어린이집,민간,Y,14481,경기도 부천시 수도로206번길 31-23 (도당동),032-681-7935,,,7,182,2,13,67,65,37.51901343,126.7894508,운영,1996-03-24,,,,일반,2021-02-15
경기도,부천시,41195000149,꿈동산어린이집,민간,Y,14563,"경기도 부천시 원미로144번길 51 관리동 1층 (원미동, 두산아파트)",032-655-6556,032-655-6556,,3,93,0,7,27,20,37.49507853,126.7941451,운영,1999-12-07,,,,일반,2021-02-15
경기도,부천시,41195000106,꿈마을삐아제어린이집,가정,Y,14550,"경기도 부천시 옥산로 83 1004동 103호 (중동, 꿈마을 삼환,한진아파트)",032-666-0076,032-666-0076,,4,66,0,7,20,20,37.50207771,126.7798029,미운영,1995-05-22,,,,일반,2021-02-15
경기도,부천시,41197000105,꿈모리어린이집,가정,Y,14688,경기도 부천시 안곡로 81 (괴안동),032-349-9197,,,3,94,0,6,20,18,37.47849876,126.811408,미운영,2005-12-29,,,,시간연장형,2021-02-15
경기도,부천시,41190000246,꿈별어린이집,가정,Y,14597,"경기도 부천시 상일로 71 1821동 104호 (상동, 반달마을 건영,동아,선경아파트)",032-323-3579,,,3,46,0,5,15,15,37.49309089,126.7511084,미운영,2014-12-15,,,,일반,2021-02-15
경기도,부천시,41195000203,꿈별중동어린이집,민간,Y,14609,경기도 부천시 중동로 166-1 1층 (중동),032-667-0331,032-668-7909,magicmp3.co.kr,4,72,0,4,27,17,37.49415749,126.7681043,미운영,2000-05-09,,,,일반,2021-02-15
경기도,부천시,41199000139,꿈빛어린이집,가정,Y,14479,"경기도 부천시 길주로573번길 37 309동 103호(여월동, 여월휴먼시아3단지아파트)",032-678-0777,032-678-0777,,4,84,1,6,20,19,37.51567654,126.7991415,미운영,2007-12-24,,,,일반,2021-02-15
경기도,부천시,41197000168,꿈사랑어린이집,가정,Y,14723,"경기도 부천시 경인로117번길 27 203동 102호 (송내동, 부천중동역2차푸르지오A단지)",032-668-1007,032-237-1007,,3,61,0,6,20,16,37.48541247,126.7672766,미운영,2008-12-26,,,,일반,2021-02-15
경기도,부천시,41190000239,꿈샘어린이집,가정,Y,14552,"경기도 부천시 계남로 329 101호 (춘의동, 춘의동 리치빌)",032-656-9338,032-656-9338,,4,60,1,10,20,20,37.50155611,126.783168,미운영,2003-02-07,,,,영아전담+시간연장형,2021-02-15
경기도,부천시,41199000131,꿈예쁜I어린이집,가정,Y,14416,"경기도 부천시 원종로119번길 66 101동 106호 (고강동, 청광플러스원)",032-673-3195,032-679-3195,http://blog.naver.com/dreami5245,4,58,0,8,20,20,37.52706173,126.813921,운영,2007-04-11,,,,시간연장형,2021-02-15
경기도,부천시,41197000080,꿈이가득한어린이집,가정,Y,14689,"경기도 부천시 범안로45번길 34 102호 (괴안동, 남양클레버아파트)",032-349-5198,032-349-5190,,3,58,0,6,20,20,37.47741151,126.809112,미운영,2005-12-26,,,,일반,2021-02-15
경기도,부천시,41195000007,꿈이자라는어린이집,민간,Y,14590,"경기도 부천시 조마루로 104 관리동 (상동, 하얀마을)",032-326-0540,032-326-0602,,3,68,0,7,26,26,37.49940977,126.7530933,미운영,2002-12-16,,,,일반,2021-02-15
경기도,부천시,41195000073,꿈초록어린이집,가정,Y,14587,"경기도 부천시 조마루로 47 2420동 105호 (상동, 행복한마을 한양하이타운로즈빌1차)",032-326-4499,032-326-4499,,3,79,0,7,20,20,37.50131758,126.7488011,미운영,2003-10-28,,,,일반,2021-02-15
경기도,부천시,41199000075,나래어린이집,민간,Y,14516,경기도 부천시 평천로 742 (삼정동),032-677-1161,032-677-1161,,6,175,2,10,66,47,37.51494704,126.7732962,운영,1996-03-13,,,,일반,2021-02-15
경기도,부천시,41195000228,내아이어린이집,가정,Y,14665,"경기도 부천시 안곡로 284 101동 105호(역곡동, 한국아파트)",032-345-2431,070-7340-8212,,5,82,0,6,20,20,37.49273477,126.8134361,미운영,2006-11-10,,,,일반,2021-02-15
경기도,부천시,41199000102,누리어린이집,민간,Y,14467,경기도 부천시 삼작로423번길 17 (원종동),032-683-4456,032-672-4456,,11,188,2,15,70,50,37.52066003,126.8086512,운영,1993-05-31,,,,시간연장형,2021-02-15
경기도,부천시,41195000244,누리에어린이집,민간,Y,14621,경기도 부천시 장말로188번길 65 1층(상동),032-652-5950,032-652-8524,http://cafe.daum.net/nuriea,3,86,0,6,24,13,37.49004566,126.7622873,운영,2007-05-23,,,,일반,2021-02-15
경기도,부천시,41197000167,늘사랑소사어린이집,가정,Y,14699,"경기도 부천시 소안로 20 107동 106호(괴안동, 삼익세라믹아파트)",032-342-0999,032-342-0999,http://cafe.daum.net/NulSarang,4,71,0,8,20,20,37.47731217,126.803204,미운영,2008-03-27,,,,일반,2021-02-15
경기도,부천시,41190000021,늘사랑어린이집,법인·단체,A,14409,경기도 부천시 고리울로 80 (고강동),032-671-7202,032-671-1019,,3,110,0,10,32,30,37.52674521,126.8248004,운영,1998-03-03,2011-03-01,2011-04-30,,일반,2021-02-15
경기도,부천시,41197000157,늘푸른어린이집,가정,Y,14699,"경기도 부천시 소안로 20 105동 108호(괴안동, 삼익세라믹아파트)",032-345-3312,032-345-3312,,3,56,0,4,19,12,37.47731217,126.803204,미운영,2007-08-02,,,,일반,2021-02-15
경기도,부천시,41197000190,늘푸른예진어린이집,민간,Y,14696,경기도 부천시 안곡로 7 (괴안동),032-341-7267,032-341-7267,,6,72,0,7,22,22,37.47901713,126.8031563,운영,2012-12-03,,,,일반,2021-02-15
경기도,부천시,41197000015,다니엘어린이집,민간,Y,14730,경기도 부천시 경인로9번나길 21 (송내동),032-666-4463,032-653-5283,http://cafe.daum.net/beauty0550,7,347,2,15,80,80,37.48506239,126.7576828,운영,1995-12-06,,,,일반,2021-02-15
경기도,부천시,41195000011,다비드어린이집,민간,Y,14566,경기도 부천시 부천로148번길 24-1 (원미동),032-656-8611,032-654-4136,,6,121,0,10,45,44,37.49699291,,운영,1997-07-29,,,,일반,2021-02-15
경기도,부천시,41197000154,다사랑어린이집,가정,Y,14689,"경기도 부천시 안곡로 54 101동 104호 (괴안동, 금광포란재아파트)",032-347-6057,032-347-6057,,4,55,0,6,19,19,37.47865526,126.8082908,미운영,2007-03-06,,,,일반,2021-02-15
경기도,부천시,41195000097,다솜어린이집,가정,Y,14583,"경기도 부천시 조마루로 135 827동 101호 (중동, 포도마을 삼보,영남아파트)",032-327-3146,032-327-3778,,3,61,0,8,20,20,37.50106623,126.7592034,미운영,2002-02-20,,,,시간연장형,2021-02-15
경기도,부천시,41195000338,다정한어린이집,가정,Y,14537,"경기도 부천시 계남로 126 414동 101호(중동,금강마을아파트)",032-673-3937,032-673-3937,,4,52,0,3,19,13,37.50789906,126.7616783,미운영,2013-12-16,,,,일반,2021-02-15
경기도,부천시,41195000270,단비어린이집,가정,Y,14538,"경기도 부천시 중동로279번길 22 518동 102호(중동, 은하마을쌍용효성아파트)",032-325-7564,,,4,75,0,5,20,15,37.50549526,126.7678569,미운영,2008-09-18,,,,일반,2021-02-15
경기도,부천시,41195000134,대림동화어린이집,가정,Y,14667,"경기도 부천시 지봉로143번길 7 102동 106호(역곡동, 대림E편한세상1차아파트)",032-342-1576,,,3,41,0,5,15,15,37.48973408,126.8141293,미운영,2004-06-29,,,,일반,2021-02-15
경기도,부천시,41190000054,대장어린이집,국공립,Y,14400,경기도 부천시 대장로 176 1층 (대장동),032-673-8711,032-673-8710,,4,90,1,7,34,28,37.54314893,126.7826937,운영,1994-01-01,,,,일반,2021-02-15
경기도,부천시,41190000059,대학어린이집,국공립,Y,14754,"경기도 부천시 호현로489번길 52 1~2층 (소사본동, 교육복지센터)",032-347-6979,032-347-6970,,6,307,3,18,97,94,37.47920005,126.7889892,미운영,2007-02-28,,,,장애아통합,2021-02-15
경기도,부천시,41190000023,덕유성심어린이집,민간,Y,14536,"경기도 부천시 도약로 146 관리동 1층 (중동, 덕유마을주공1단지,2단지,4단지아파트)",032-322-8836,032-324-0919,cafe.naver.com/deogyuseongsim,3,86,0,7,27,25,37.50910404,126.7658873,미운영,1997-07-31,,,,일반,2021-02-15
경기도,부천시,41195000047,덕유어린이집,민간,Y,14536,경기도 부천시 도약로 146-1 관리동 (중동),032-325-9396,032-325-9601,,4,82,1,7,31,30,37.50825622,126.7668289,미운영,1996-09-04,,,,일반,2021-02-15
경기도,부천시,41195000229,도담도담어린이집,가정,Y,14662,"경기도 부천시 부일로 653 3동 103호 (역곡동, 한도아파트)",032-349-6623,,,4,43,0,5,16,15,37.48420056,126.8031118,미운영,2006-12-20,,,,일반,2021-02-15
경기도,부천시,41190000009,도미니꼬 애덕 어린이집,법인·단체,Y,14528,경기도 부천시 길주로391번길 41-1 (춘의동),032-674-0546,032-674-0543,http://cafe.daum.net/lovedomini,7,283,2,14,99,89,37.50523072,126.7852901,미운영,1999-04-02,,,,일반,2021-02-15
경기도,부천시,41195000010,동그라미발도르프어린이집,협동,Y,14611,경기도 부천시 장말로279번길 15 1층 (심곡동),032-665-9722,032-665-9722,cafa.daum.net/ramidong,3,58,0,4,20,12,37.49226659,126.7730934,미운영,1994-11-09,,,,일반,2021-02-15
경기도,부천시,41199000011,동그라미어린이집,가정,Y,14419,경기도 부천시 성지로85번길 58-1 (원종동),032-677-0370,032-677-0370,,4,57,0,5,15,13,37.52689574,126.8079954,운영,1999-07-12,2011-08-08,2011-10-07,,일반,2021-02-15
경기도,부천시,41195000008,동남어린이집,가정,Y,14591,"경기도 부천시 부흥로 71 2716동 103호 (상동, 백송마을 동남디아망)",032-223-3334,,,4,75,0,6,20,19,37.49978945,126.7506533,미운영,2003-02-26,,,,일반,2021-02-15
경기도,부천시,41199000078,동문어린이집,가정,Y,14426,"경기도 부천시 상오정로182번길 21 502동 101호 (원종동, 5차 동문아파트)",070-4139-7959,032-676-7959,http://cafe.daum.net/dongmooni/,4,62,0,10,19,19,37.52936178,126.7982094,운영,2003-01-16,,,,시간연장형,2021-02-15
경기도,부천시,41195000253,동부어린이집,민간,Y,14664,"경기도 부천시 역곡로45번길 36 203동 104호 (역곡동, 동부센트레빌2단지아파트)",032-348-8837,032-344-8837,,5,87,0,9,32,32,37.48885109,126.8077759,미운영,2007-10-12,,,,일반,2021-02-15
경기도,부천시,41197000045,동산어린이집,민간,Y,14697,경기도 부천시 범안로58번길 7 (괴안동),032-343-0876,032-347-1004,,10,424,2,11,99,68,37.4763231,126.8075974,운영,2006-01-06,,,,일반,2021-02-15
경기도,부천시,41195000102,동성어린이집,가정,Y,14579,"경기도 부천시 조마루로 231 932동 101호 (중동, 미리내마을 동성아파트)",032-225-7515,,,4,60,0,6,20,20,37.50025312,126.7704549,미운영,2002-09-14,,,,일반,2021-02-15
경기도,부천시,41195000202,동심어린이집,가정,Y,14672,"경기도 부천시 지봉로34번길 58 501동 107호 (역곡동, 역곡e편한세상5차아파트)",032-341-2128,032-347-3129,http://q.cyworld.com/ALG225C,4,54,0,7,20,20,37.48563194,126.8079786,미운영,2005-08-05,,,,일반,2021-02-15
경기도,부천시,41195000061,동원어린이집,가정,Y,14667,"경기도 부천시 지봉로143번길 38 201동 107호 (역곡동, 역곡e편한세상2차아파트)",032-341-6596,032-341-6596,,3,60,0,7,20,19,37.49150977,126.8141046,미운영,1997-03-08,,,,일반,2021-02-15
경기도,부천시,41199000049,동화나라어린이집,민간,Y,14431,경기도 부천시 원종로24번길 33 (원종동),032-674-6766,032-684-1851,,14,632,1,28,239,152,37.52262068,126.8027714,운영,1996-04-14,,,,일반,2021-02-15
경기도,부천시,41197000078,동화나라예능어린이집,민간,Y,14766,경기도 부천시 은성로68번길 80 1~2층 (소사본동),032-344-7942,032-345-8534,,7,161,1,9,61,44,37.47163579,126.7981798,운영,2005-01-25,,,,일반,2021-02-15
경기도,부천시,41195000290,두리몬테소리어린이집,가정,Y,14596,"경기도 부천시 장말로 71 1502동 106호 (상동, 한아름마을 라이프,현대1차아파트)",032-252-8702,032-252-8702,,4,65,0,7,20,19,37.49499574,126.7497787,미운영,2009-04-30,,,,일반,2021-02-15
경기도,부천시,41195000098,딩동댕어린이집,가정,Y,14583,"경기도 부천시 조마루로 135 822동 101호 (중동, 포도마을 삼보,영남아파트)",032-324-7538,,,4,59,0,7,20,20,37.5003063,126.7598964,미운영,1999-04-12,,,,시간연장형,2021-02-15
경기도,부천시,41197000095,딸기어린이집,가정,Y,14772,"경기도 부천시 소사동로72번길 32 403동 105호 (소사본동, 소사주공뜨란채4단지아파트)",032-341-0857,,,3,84,0,6,19,19,37.47385746,126.8054162,미운영,2008-04-23,,,,일반,2021-02-15
경기도,부천시,41197000101,또래또몬테소리어린이집,민간,Y,14688,경기도 부천시 경인로484번길 112 (괴안동),032-343-8263,032-345-1908,http//tto.idomz.net,6,225,1,14,85,85,37.47883959,126.8120595,운영,1991-02-28,,,,시간연장형,2021-02-15
경기도,부천시,41197000037,또래또아이어린이집,가정,Y,14688,"경기도 부천시 범안로21번길 39 1동 101호 (괴안동, 아주아파트)",032-348-8263,032-345-1908,,4,65,0,5,20,19,37.48189685,126.7777896,운영,1998-02-26,,,,일반,2021-02-15
경기도,부천시,41197000036,또래어린이집,가정,Y,14778,"경기도 부천시 범안로 130-27 501동 101호 (범박동, 부천범박힐스테이트5단지아파트)",032-213-1717,,,3,74,0,6,20,20,37.469917,,미운영,2005-08-10,,,,일반,2021-02-15
