자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
오이도 배디리선착장,무인대여소,,경기도 시흥시 정왕동 2199-1,37.3485030357,126.6952249112,00:00,23:59,연중무휴,무료,무료,17,20,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
오이도 기념공원,무인대여소,,경기도 시흥시 정왕동 2206-6,37.3171918655,126.7208527314,00:00,23:59,연중무휴,무료,무료,15,13,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
옥구2교,무인대여소,경기도 시흥시 옥구공원로 75,경기도 시흥시 정왕동 1852-6번지,37.3510848296,126.7224445987,00:00,23:59,연중무휴,무료,무료,6,10,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
군자2교,무인대여소,경기도 시흥시 옥구공원로 189,경기도 시흥시 정왕동 1733-5번지,37.3447330603,126.7325468027,00:00,23:59,연중무휴,무료,무료,6,10,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
정왕2교,무인대여소,경기도 시흥시 평안상가5길 8,경기도 시흥시 정왕동 1784-2번지,37.3360161421,126.7464640143,00:00,23:59,연중무휴,무료,무료,6,10,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
미관3호광장,무인대여소,경기도 시흥시 정왕대로 218,경기도 시흥시 정왕동 1758번지,37.3458293092,126.7375935864,00:00,23:59,연중무휴,무료,무료,6,10,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
오이도역,무인대여소,,경기도 시흥시 정왕동 876-537,37.3612739222,126.7376153441,00:00,23:59,연중무휴,무료,무료,6,20,N,,N,031-310-3138,경기도 시흥시청,2020-06-02
성저공원 앞,무인대여소,,경기도 고양시 일산서구 대화동 2403,37.681171,126.753147,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,6,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산3동 주민센터 앞,무인대여소,,경기도 고양시 일산서구 일산동 1404,37.678563,126.771008,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,5,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
한뫼초교 앞,무인대여소,,경기도 고양시 일산서구 일산동 954-69,37.685812,126.766070,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산동문5차 502동 앞,무인대여소,경기도 고양시 일산서구 일청로35번길 40,경기도 고양시 일산서구 일산동 600-117번지,37.688038,126.769505,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
동문1차 101동 맞은편,무인대여소,,경기도 고양시 일산서구 탄현동 1621,37.690815,126.768895,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,15,25,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산역 본일산 방면,무인대여소,경기도 고양시 일산서구 일중로15번길 91,경기도 고양시 일산서구 일산동 655-628번지,37.682798,126.769612,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
호수공원 (강선17단지 삼거리),무인대여소,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906번지,37.653846,126.768781,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,22,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
원당역 앞 공영주차장,무인대여소,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 덕양구 성사동 394,37.6540844328,126.8410986919,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,6,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산병원 맞은편,무인대여소,,경기도 고양시 일산동구 백석동 1602,37.646197,126.791495,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
탄현마을8단지,무인대여소,,경기도 고양시 일산서구 탄현동 1513,37.698523,126.765832,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,15,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송역6번 출구,무인대여소,,경기도 고양시 덕양구 삼송동 18-17,37.653127,126.896258,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,14,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신원도서관,무인대여소,,경기도 고양시 덕양구 신원동 615,37.666539,126.887726,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
호수공원 제4주차장 뒤,무인대여소,,경기도 고양시 일산동구 장항동 905,37.650304,126.768932,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,19,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
덕양우체국 건너편,무인대여소,,경기도 고양시 덕양구 화정동 875,37.637660,126.835726,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,13,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하이파크3단지 302동앞 버스정류장옆,무인대여소,,경기도 고양시 일산서구 덕이동 361-42,37.699505,126.755059,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송마을15단지 후문,무인대여소,,경기도 고양시 덕양구 원흥동 669-2,37.651955,126.878055,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송마을16단지 솔개천,무인대여소,,경기도 고양시 덕양구 원흥동 12-39,37.651431,126.884824,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,17,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
왕산공원 (장성중 뒤),무인대여소,,경기도 고양시 일산서구 대화동 2092,37.681931,126.751525,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,7,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
산들마을 사거리 604동 앞,무인대여소,,경기도 고양시 일산서구 일산동 538-3,37.683161,126.777417,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,21,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산역 신도시 방면,무인대여소,,경기도 고양시 일산서구 일산동 1410,37.681708,126.769588,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,11,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
송포동주민센터,무인대여소,경기도 고양시 일산서구 대화1로 77,경기도 고양시 일산서구 대화동 752-7번지,37.671388,126.735204,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,22,14,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백마마을 308동 앞,무인대여소,경기도 고양시 일산동구 경의로 312-1,경기도 고양시 일산동구 마두동 1113,37.657081,126.794118,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하늘마을4단지 403동 앞,무인대여소,,경기도 고양시 일산동구 중산동 1805,37.675140,126.784974,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,18,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고속종합터미널 출구,무인대여소,,경기도 고양시 일산동구 백석동 1237-1,37.643366,126.792052,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,18,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
마두역 7번 출구,무인대여소,,경기도 고양시 일산동구 마두동 765,37.652254,126.778378,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
정발중 맞은편,무인대여소,,경기도 고양시 일산동구 마두동 968,37.658735,126.781639,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,16,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
문원 2단지 문천사 앞,유인대여소,,경기도 과천시 문원동 106-2,37.4255253,127.0066602,09:00,18:00,토·일·국경일,무료,무료,30,20,Y,수동식,N,02-3677-2288,과천시청(교통과),2019-04-09
부림동 과천역 3번출구,유인대여소,,경기도 과천시 부림동 55,37.4325055,126.9986132,09:00,22:00,토·일·국경일,무료,무료,25,30,Y,수동식,N,02-3677-2288,과천시청(교통과),2019-04-09
중앙공원,유인대여소,,경기도 과천시 별양동 2-5,37.4306703,126.9949293,09:00,22:00,월·화·국경일,무료,무료,30,30,Y,수동식,N,02-3677-2288,과천시청(교통과),2019-04-09
뒷골 공영주차장,유인대여소,,경기도 과천시 과천동 367-4,37.453440,127.001328,09:00,18:00,토·일·국경일,무료,무료,20,20,Y,수동식,N,02-3677-2288,과천시청(교통과),2019-04-09
풍산역,무인대여소,,경기도 고양시 일산동구 정발산동 1355-1,37.670513,126.787081,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,15,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
코오롱 앞(정부과천청사역 4번출구),유인대여소,경기도 과천시 중앙로 지하 100,경기도 과천시 별양동 1,37.4273488,126.9914146,09:00,18:00,토·일·국경일,무료,무료,25,30,Y,수동식,N,02-3677-2288,과천시청(교통과),2019-04-09
대화역 6번 출구,무인대여소,,경기도 고양시 일산서구 대화동 2502,37.675122,126.749818,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
주엽역 2번 출구,무인대여소,,경기도 고양시 일산서구 주엽동 108,37.669687,126.760828,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신원마을6단지 정문 앞,무인대여소,,경기도 고양시 덕양구 신원동 617-1,37.664445,126.888726,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
정발산역 2번 출구 (롯데백화점),무인대여소,경기도 고양시 일산동구 중앙로 1271-1,경기도 고양시 일산동구 장항동 845,37.658487,126.770628,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,13,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
어울림누리 맞은편,무인대여소,경기도 고양시 덕양구 어울림로 32,경기도 고양시 덕양구 화정동 857,37.6478475668,126.8343539751,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,21,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
충현빌딩 앞,무인대여소,,경기도 고양시 덕양구 토당동 282-19,37.625664,126.817471,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하이파크2단지 205동앞 육교밑,무인대여소,,경기도 고양시 일산서구 덕이동 349-5,37.700493,126.752281,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,19,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
롯데마트 고양점 옆,무인대여소,,경기도 고양시 덕양구 행신동 1032,37.625454,126.836164,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
소만마을 806동 앞,무인대여소,,경기도 고양시 덕양구 행신동 407-4,37.617936,126.841228,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
행신동 주민센터 옆,무인대여소,,경기도 고양시 덕양구 행신동 835,37.615463,126.831776,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
동산마을21단지 후문,무인대여소,,경기도 고양시 덕양구 삼송동 162-2,37.645557,126.883548,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산정보산업고교 앞,무인대여소,,경기도 고양시 일산서구 주엽동 42,37.672531,126.772597,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,6,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
성저초교 앞,무인대여소,,경기도 고양시 일산서구 대화동 2366,37.684499,126.756405,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
뉴코아아울렛 앞,무인대여소,,경기도 고양시 일산동구 마두동 1120,37.651773,126.778011,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
풍동 뜨란체2단지 사거리,무인대여소,,경기도 고양시 일산동구 풍동 1333-1,37.666863,126.800832,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산문화공원 홈플러스 앞,무인대여소,경기도 고양시 일산동구 중앙로 1271-1,경기도 고양시 일산동구 장항동 845,37.658487,126.770628,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,11,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백송3단지 사거리,무인대여소,,경기도 고양시 일산동구 백석동 1366,37.648388,126.787636,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백석고 옆,무인대여소,,경기도 고양시 일산동구 마두동 777,37.653459,126.787399,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
명가원 옆,무인대여소,,경기도 고양시 일산동구 정발산동 1130,37.674041,126.778845,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,7,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양체육관 부출입구(후문),무인대여소,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320,37.676422,126.743066,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하늘공원,무인대여소,,경기도 고양시 일산동구 중산동 1800,37.6759045498,126.7874348202,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
킨텍스 사거리,무인대여소,,경기도 고양시 일산동구 장항동 1760,37.664246,126.747984,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,40,N,,N,031-903-8984,경기도 고양시 에코바이크(주),2020-05-15
행신동 주민센터 앞,무인대여소,경기도 고양시 덕양구 중앙로558번길 78,경기도 고양시 덕양구 행신동 933,37.626329,126.8385975259,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,15,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하이파크5단지 502동앞 버스정류장,무인대여소,,경기도 고양시 일산서구 덕이동 374-14,37.697626,126.753176,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,6,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
서정마을1단지 101동 앞,무인대여소,,경기도 고양시 덕양구 행신동 1117,37.620696,126.845275,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
서정마을 312동 앞,무인대여소,,경기도 고양시 덕양구 행신동 1100,37.613675,126.849434,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
원흥역8번 출구,무인대여소,경기도 고양시 덕양구 권율대로 681,경기도 고양시 덕양구 원흥동 151-5,37.6509195267,126.8733058764,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,14,35,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
후곡성당 앞,무인대여소,경기도 고양시 일산서구 일산로 553,경기도 고양시 일산서구 일산동 1394,37.6780455289,126.7666023764,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신일중학교 앞,무인대여소,경기도 고양시 일산서구 경의로 592-1,경기도 고양시 일산서구 일산동 1412,37.676833,126.775904,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
가좌고등학교 옆공원,무인대여소,,경기도 고양시 일산서구 가좌동 408-1,37.688555,126.719843,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
중산8단지 사거리,무인대여소,,경기도 고양시 일산동구 중산동 1581,37.687259,126.780547,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
중산동중앙공원 앞,무인대여소,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565번지,37.691503,126.779898,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,5,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
공공자전거대여소 부천시청역,유인대여소,경기도 부천시 길주로 지하 202,경기도 부천시 중동 1243,37.504938,126.763465,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,30,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
일산 요진와이시티 공원,무인대여소,,경기도 고양시 일산동구 백석동 1541-1,37.642226,126.789502,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
대야동 시민자전거 대여소,유인대여소,,경기도 군포시 둔대동 354-2,37.3247835,126.8905196,10:00,18:00,평일,유료,"1인용 3,000원 2인용 6,000원, 가족 4인용 12,000원, 가족6인용 14,000원",35,,Y,기계식,Y,031-396-4135,군포시새마을회,2019-05-28
공공자전거대여소 상동역,유인대여소,경기도 부천시 길주로 105,경기도 부천시 상동 535-5번지,37.506069,126.754122,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,30,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
흰돌마을 508동앞,무인대여소,경기도 고양시 일산동구 중앙로 1073,경기도 고양시 일산동구 백석동 1334,37.6447588366,126.7850942713,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백석역 6번 출구 (신선설농탕),무인대여소,,경기도 고양시 일산동구 백석동 1555,37.644231,126.788396,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
정발산역 4번 출구 일산동구청 방면,무인대여소,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,37.6588817367,126.7749581348,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,13,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
원시티 육교,무인대여소,,경기도 고양시 일산동구 장항동 1793,37.661051,126.750866,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,40,N,,N,031-903-8986,경기도 고양시 에코바이크(주),2020-05-15
세일빌딩 앞,무인대여소,,경기도 고양시 덕양구 화정동 1099,37.632864,126.830664,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
꽃우물 공원 앞,무인대여소,,경기도 고양시 덕양구 화정동 1011,37.628549,126.824686,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
가람중학교 앞 삼거리,무인대여소,,경기도 고양시 덕양구 행신동 1032,37.625504,126.836047,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하이파크1단지 105동앞 공원광장,무인대여소,,경기도 고양시 일산서구 덕이동 산 146,37.702866,126.755242,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,14,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양시청 주차장,무인대여소,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600번지,37.658414,126.8319596509,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,17,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
무원마을10단지1006동 앞,무인대여소,,경기도 고양시 덕양구 행신동 820,37.618505,126.829011,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,9,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
원흥역4번 출구,무인대여소,경기도 고양시 덕양구 권율대로 681,경기도 고양시 덕양구 원흥동 137-6,37.6509195267,126.8733058764,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
탄현역 동쪽 출구,무인대여소,,경기도 고양시 일산서구 탄현동 293-2,37.693514,126.761304,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,19,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
