공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
서두마루공원,어린이공원,경기도 고양시 덕양구 서정로 38,경기도 고양시 덕양구 행신동 1101-1번지,37.61833519,126.8536525,1533,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
삼송어린이3(동산),어린이공원,,경기도 고양시 덕양구 동산동 349,37.64324356,126.8846484,2026,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
동산3,어린이공원,,경기도 고양시 덕양구 동산동 56-14,37.64374278,126.8980856,5515,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
공원(벽제목암지구),어린이공원,,경기도 고양시 덕양구 벽제동 377,37.71435169,126.9090894,1516,,,,,,2014-12-09,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
공원(벽제목암지구),근린공원,경기도 고양시 덕양구 호국로1873번길 57-10,경기도 고양시 덕양구 벽제동 78-3번지,37.71911128,126.9111907,25164,,,,,,2014-12-09,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
안산,문화공원,,경기도 고양시 일산동구 백석동 1195,37.64665861,126.7840125,8437,체력단련시설,,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
안산,어린이공원,경기도 고양시 일산동구 강송로113번길 36-14,경기도 고양시 일산동구 백석동 1206번지,37.64851724,126.7848251,3167,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
백석,근린공원,경기도 고양시 일산동구 일산로 136,경기도 고양시 일산동구 백석동 1233번지,37.64871522,126.7948256,157982,축구장+실내배드민턴장+체력단련시설,,주차장+화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
백석,문화공원,,경기도 고양시 일산동구 백석동 1237-1,37.64326748,126.7919878,5742,,,,,,2010-02-02,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
문화공원(요진Y-City),어린이공원,경기도 고양시 일산동구 백석로72번길 31-12,경기도 고양시 일산동구 백석동 1269번지,37.64615882,126.7880046,3341,체력단련시설,조합놀이대+그네+흔들놀이기구(시소+흔들말),,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
간이,어린이공원,,경기도 고양시 일산동구 백석동 1348,37.64218842,126.7832665,4255,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
알미,근린공원,,경기도 고양시 일산동구 백석동 1350,37.64588208,126.783097,15507,체력단련시설,,화장실,야외음악당,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
알미,어린이공원,경기도 고양시 일산동구 호수로430번길 29-14,경기도 고양시 일산동구 백석동 1437번지,37.64457307,126.7801183,3576,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
화정,근린공원,,경기도 고양시 덕양구 화정동 36-4,37.63011072,126.8417909,93868,,,,,,1971-09-27,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
덕은4(덕은지구),소공원,,경기도 고양시 덕양구 덕은동 347-5,37.58347439,126.8691987,1108,,,,,,2015-12-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
대덕,근린공원,,경기도 고양시 덕양구 덕은동 산101-1,37.58758841,126.8661797,314046,,,,,,1971-08-06,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
소공원1(중부대학교),소공원,,경기도 고양시 덕양구 대자동 1235,37.71151804,126.883973,260,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원2(중부대학교),소공원,경기도 고양시 덕양구 동헌로 283,경기도 고양시 덕양구 대자동 640-6번지,37.71193989,126.8864122,259,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원4(중부대학교),소공원,,경기도 고양시 덕양구 대자동 619-2,37.71173865,126.8883956,414,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원6(중부대학교),소공원,,경기도 고양시 덕양구 대자동 1214-13,37.71068562,126.8895313,424,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원8(중부대학교),소공원,,경기도 고양시 덕양구 대자동 1214-13,37.71068562,126.8895313,221,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원9(중부대학교),소공원,경기도 고양시 덕양구 동헌로 321-44,경기도 고양시 덕양구 대자동 598-1번지,37.71149452,126.8918565,736,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원5(중부대학교),소공원,,경기도 고양시 덕양구 대자동 611-4,37.71145999,126.8890538,302,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
주교4,어린이공원,경기도 고양시 덕양구 마상로113번길 87,경기도 고양시 덕양구 주교동 556-1번지,37.66374343,126.8387978,1953,,,,,,2018-02-13,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
주교6,어린이공원,경기도 고양시 덕양구 원당로135번길 6,경기도 고양시 덕양구 주교동 554-1번지 영흥아파트,37.66370462,126.8394291,3630,,,,,,2018-02-13,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
대장동1공원,소공원,,경기도 고양시 덕양구 대장동 143-10,37.64575776,126.8218996,145,,,,,,2018-09-18,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
대장동2공원,소공원,,경기도 고양시 덕양구 주교동 1318,37.64559063,126.8214036,118,,,,,,2018-09-18,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
대장동3공원,소공원,경기도 고양시 덕양구 호국로627번길 151-2,경기도 고양시 덕양구 대장동 142-2,37.64559063,126.8214036,89,,,,,,2018-09-18,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
향동지구 소공원1,소공원,,경기도 고양시 덕양구 향동동 138-1,37.60155224,126.890535,2474,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
향동수변1,수변공원,,경기도 고양시 덕양구 향동동 183,37.60622784,126.8809811,1801,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
향동지구 소공원2,소공원,,경기도 고양시 덕양구 향동동 218-22,37.59955904,126.8981137,7301,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
향동근린1,근린공원,,경기도 고양시 덕양구 향동동 236-56,37.59480549,126.8921983,12228,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
향동근린2,근린공원,,경기도 고양시 덕양구 향동동 24-1,37.60622784,126.8809811,11937,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
향동수변2,수변공원,,경기도 고양시 덕양구 향동동 328-4,37.59833648,126.8913099,16470,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
향동어린이2,어린이공원,,경기도 고양시 덕양구 향동동 333,37.59877702,126.8903127,1866,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
향동체육공원,체육공원,,경기도 고양시 덕양구 향동동 356,37.59617108,126.8881199,30692,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
화전7,소공원,,경기도 고양시 덕양구 화전동 169-61,37.59730444,126.8774288,2012,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화전8,어린이공원,,경기도 고양시 덕양구 화전동 380-10,37.61221826,126.8715936,1600,,,,,,2009-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화전6,어린이공원,,경기도 고양시 덕양구 화전동 511-18,37.6084689,126.8704224,1673,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
은행나무,어린이공원,경기도 고양시 덕양구 화신로 233,경기도 고양시 덕양구 화정동 1127번지 옥빛마을15단지아파트,37.62865494,126.8357424,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소나무(능곡),어린이공원,경기도 고양시 덕양구 백양로 8,경기도 고양시 덕양구 화정동 1135번지 옥빛마을17단지아파트,37.62652494,126.8331235,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
명지,소공원,,경기도 고양시 덕양구 화정동 712-10,37.64446555,126.8307012,755,,,,,,2015-07-03,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
희망,소공원,,경기도 고양시 덕양구 화정동 712-10,37.64446555,126.8307012,3321,,,,,,2015-07-03,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 11(화수어린이),어린이공원,,경기도 고양시 덕양구 화정동 853,37.64477234,126.8373176,3995.5,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 10(달빛어린이),어린이공원,경기도 고양시 덕양구 어울림로 32,경기도 고양시 덕양구 화정동 857번지,37.64784757,126.834354,5002.9,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
꽃물,근린공원,경기도 고양시 덕양구 화중로151번길 56,경기도 고양시 덕양구 화정동 867번지,37.64105095,126.8295741,15472,다목적운동장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
화정 12(진달래),어린이공원,경기도 고양시 덕양구 화수로 40,경기도 고양시 덕양구 화정동 869번지,37.64413544,126.8342988,6374.6,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 13(개나리),어린이공원,경기도 고양시 덕양구 화중로138번길 41,경기도 고양시 덕양구 화정동 890번지,37.63927225,126.8347402,2417.5,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 14(용정),어린이공원,경기도 고양시 덕양구 은빛로29번길 31-17,경기도 고양시 덕양구 화정동 921번지,37.63953885,126.8306516,4274.2,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 15(민들레),어린이공원,,경기도 고양시 덕양구 화정동 937,37.63652325,126.8274793,5991.5,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 18(꽃우물어린이),어린이공원,경기도 고양시 덕양구 중앙로 646,경기도 고양시 덕양구 화정동 949번지,37.62865718,126.8272144,3960.7,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
꽃우물,근린공원,,경기도 고양시 덕양구 화정동 950,37.62818981,126.8278501,12881,체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
화정 17(별빛어린이),어린이공원,경기도 고양시 덕양구 화중로 61,경기도 고양시 덕양구 화정동 954번지,37.63290261,126.8296879,5106.7,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정 16(배꽃),어린이공원,경기도 고양시 덕양구 백양로 126,경기도 고양시 덕양구 화정동 961번지 은빛마을11단지아파트,37.63668391,126.8353033,3849,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화정중앙,근린공원,,경기도 고양시 덕양구 화정동 985,37.63130415,126.8319324,12215,체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
옥빛,근린공원,,경기도 고양시 덕양구 화정동 989,37.6330491,126.8361768,22371,다목적운동장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
밤나무공원,어린이공원,,경기도 고양시 덕양구 행신동 1068-1,37.62086283,126.852481,6726,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
작은봉화공원,어린이공원,경기도 고양시 덕양구 소원로 260,경기도 고양시 덕양구 행신동 1110번지,37.61412262,126.8511236,6698,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
행신 1(번데미),어린이공원,경기도 고양시 덕양구 소원로 11,경기도 고양시 덕양구 행신동 694번지,37.61724568,126.8298323,1514.1,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
번데미,근린공원,,경기도 고양시 덕양구 행신동 698,37.61616477,126.8298491,14950,야외배드민턴장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
행신 2(장고뫼),어린이공원,경기도 고양시 덕양구 소원로 45,경기도 고양시 덕양구 행신동 701번지,37.61394057,126.8310223,1500,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
차장,근린공원,경기도 고양시 덕양구 무원로36번길 47,경기도 고양시 덕양구 행신동 722번지,37.61672981,126.8333705,13786,다목적운동장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
행신 3(무원),어린이공원,경기도 고양시 덕양구 무원로 56,경기도 고양시 덕양구 행신동 734번지,37.61794344,126.8327666,1486.3,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
행신 4(용마루),어린이공원,경기도 고양시 덕양구 용현로 37,경기도 고양시 덕양구 행신동 755번지,37.6160194,126.835666,1689.4,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
행신 5(행신),어린이공원,경기도 고양시 덕양구 행신로 196,경기도 고양시 덕양구 행신동 775번지,37.61822666,126.8368437,1851.3,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
주교 1,어린이공원,,경기도 고양시 덕양구 주교동 610,37.65635454,126.8343115,1499,,없음,,,,1981-05-13,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
지축지구 소공원3,소공원,,경기도 고양시 덕양구 지축동 351-4,37.65163109,126.928081,1041,,,,,,2011-08-22,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
지축어린이3,어린이공원,경기도 고양시 덕양구 싸리골길 44,경기도 고양시 덕양구 지축동 456,37.64836179,126.9251718,3071,,,,,,2011-08-22,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
지축어린이2,어린이공원,경기도 고양시 덕양구 안진동길 39,경기도 고양시 덕양구 지축동 471,37.64673055,126.9164394,1529,,,,,,2011-08-22,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
식사(은행마을공원),근린공원,,경기도 고양시 일산동구 식사동 1475,37.67004199,126.8063409,10000,체력단련시설,,화장실,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
식사어린이1(상상),어린이공원,경기도 고양시 일산동구 위시티로 18,경기도 고양시 일산동구 식사동 1588번지,37.67456234,126.8075159,2605,,조합놀이대+흔들놀이기구,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2020-05-15
식사어린이2(식사숲속),어린이공원,,경기도 고양시 일산동구 식사동 304-5,37.68095775,126.8149843,2600,,흔들놀이기구+기타,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
식사어린이3(바람놀이),어린이공원,,경기도 고양시 일산동구 식사동 690-1,37.68185273,126.8112637,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
식사어린이5(올림푸스놀이),어린이공원,,경기도 고양시 일산동구 식사동 164-8,37.68293348,126.8224274,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2020-05-15
식사어린이6(저현),어린이공원,,경기도 고양시 일산동구 식사동 산102,37.67170877,126.8118225,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2020-05-15
식사근린2(식사중앙),근린공원,,경기도 고양시 일산동구 식사동 산122-18,37.67713276,126.8119333,31586,체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
식사근린3(방아고개),근린공원,,경기도 고양시 일산동구 식사동 산105,37.67423648,126.8110443,15220,야외배드민턴장+체력단련시설,,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
낙민,근린공원,,경기도 고양시 일산동구 장항동 873,37.65071295,126.7744934,19630,체력단련시설,,화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
낙민,어린이공원,,경기도 고양시 일산동구 장항동 879,37.64699729,126.7772696,3604,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
호수,근린공원,,경기도 고양시 일산동구 장항동 905,37.65049642,126.7697348,107849,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4350,2020-05-15
호수,근린공원,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,37.66444643,126.7604431,851730,체력단련시설+게이트볼장+농구장,조합놀이대+그네+시소+흔들말,화장실,생태교육학습센터,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4350,2020-05-15
호수,어린이공원,경기도 고양시 일산동구 산두로261번길 23,경기도 고양시 일산동구 정발산동 1123번지,37.67520793,126.7778151,3063,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
매봉재,어린이공원,경기도 고양시 일산동구 일산로441번길 52-2,경기도 고양시 일산동구 정발산동 1159번지,37.67142927,126.7761671,4362,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
두루미,어린이공원,경기도 고양시 일산동구 산두로175번길 30,경기도 고양시 일산동구 정발산동 1241번지,37.67260753,126.7818175,5127,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
사재,어린이공원,,경기도 고양시 일산동구 정발산동 1299,37.67023631,126.7836826,23274,"체력단련시설+운동장(축구골대,농구대)",조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구+그네,화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
밤가시,어린이공원,,경기도 고양시 일산동구 정발산동 1329,37.66827162,126.7785766,3512,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말)+기타(울림통),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
수정,어린이공원,경기도 고양시 일산동구 무궁화로93번길 32,경기도 고양시 일산동구 정발산동 698번지,37.667494,126.7725147,5793,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
대자2,소공원,경기도 고양시 덕양구 성령길 46-9,경기도 고양시 덕양구 대자동 918번지,37.70068377,126.8815761,1418,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
대덕2,어린이공원,경기도 고양시 덕양구 덕은2로 16,경기도 고양시 덕양구 덕은동 157-2번지,37.5871527,126.874664,1681,,,,,,2006-12-26,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
덕은9(덕은지구),소공원,경기도 고양시 덕양구 원골3로 41,경기도 고양시 덕양구 덕은동 365번지,37.58303988,126.8642642,396,,,,,,2015-12-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
덕은7(덕은지구),소공원,경기도 고양시 덕양구 원골1로 8-2,경기도 고양시 덕양구 덕은동 409-14번지 쿤스트하우스,37.5824686,126.8626231,1083,,,,,,2015-12-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
화전1,어린이공원,경기도 고양시 덕양구 중앙로62번길 35-26,경기도 고양시 덕양구 덕은동 9-19번지,37.59772021,126.8786737,2304,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
삼송근린4(동산꽃맞이/밥할머니),근린공원,,경기도 고양시 덕양구 동산동 371-1,37.64352626,126.8880924,149331,풋살장+인라인스케이트장+게이트볼장+농구장+다목적운동장+배드민턴장+파크골프장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
