"시군구별","보험료분위별","가입자구분별","항목","단위","2019 년",
"종로구","6분위","직장","가입자","명","4569",
"종로구","6분위","직장","평균보험료","원","91438",
"종로구","6분위","직장","적용인구","명","7741",
"종로구","6분위","근로자","가입자","명","4337",
"종로구","6분위","근로자","평균보험료","원","91419",
"종로구","6분위","근로자","적용인구","명","7387",
"종로구","6분위","공교","가입자","명","232",
"종로구","6분위","공교","평균보험료","원","91779",
"종로구","6분위","공교","적용인구","명","354",
"종로구","6분위","지역","세대수","세대","2150",
"종로구","6분위","지역","평균보험료","원","74512",
"종로구","6분위","지역","적용인구","명","3603",
"종로구","7분위","계","세대수","세대","7318",
"종로구","7분위","계","평균보험료","원","107532",
"종로구","7분위","계","적용인구","명","12182",
"종로구","7분위","직장","가입자","명","4240",
"종로구","7분위","직장","평균보험료","원","110552",
"종로구","7분위","직장","적용인구","명","7576",
"종로구","7분위","근로자","가입자","명","3928",
"종로구","7분위","근로자","평균보험료","원","110526",
"종로구","7분위","근로자","적용인구","명","7032",
"종로구","7분위","공교","가입자","명","312",
"종로구","7분위","공교","평균보험료","원","110884",
"종로구","7분위","공교","적용인구","명","544",
"종로구","7분위","지역","세대수","세대","3078",
"종로구","7분위","지역","평균보험료","원","103372",
"종로구","7분위","지역","적용인구","명","4606",
"종로구","8분위","계","세대수","세대","8254",
"종로구","8분위","계","평균보험료","원","137288",
"종로구","8분위","계","적용인구","명","15419",
"종로구","8분위","직장","가입자","명","5322",
"종로구","8분위","직장","평균보험료","원","138681",
"종로구","8분위","직장","적용인구","명","9867",
"종로구","8분위","근로자","가입자","명","4754",
"종로구","8분위","근로자","평균보험료","원","138485",
"종로구","8분위","근로자","적용인구","명","8682",
"종로구","8분위","공교","가입자","명","568",
"종로구","8분위","공교","평균보험료","원","140321",
"종로구","8분위","공교","적용인구","명","1185",
"종로구","8분위","지역","세대수","세대","2932",
"종로구","8분위","지역","평균보험료","원","134760",
"종로구","8분위","지역","적용인구","명","5552",
"종로구","9분위","계","세대수","세대","8877",
"종로구","9분위","계","평균보험료","원","184754",
"종로구","9분위","계","적용인구","명","19373",
"종로구","9분위","직장","가입자","명","5652",
"종로구","9분위","직장","평균보험료","원","182509",
"종로구","9분위","직장","적용인구","명","12883",
"종로구","9분위","근로자","가입자","명","4523",
"종로구","9분위","근로자","평균보험료","원","181800",
"종로구","9분위","근로자","적용인구","명","9836",
"종로구","9분위","공교","가입자","명","1129",
"종로구","9분위","공교","평균보험료","원","185352",
"종로구","9분위","공교","적용인구","명","3047",
"종로구","9분위","지역","세대수","세대","3225",
"종로구","9분위","지역","평균보험료","원","188686",
"종로구","9분위","지역","적용인구","명","6490",
"종로구","10분위","계","세대수","세대","13065",
"종로구","10분위","계","평균보험료","원","415229",
"종로구","10분위","계","적용인구","명","31988",
"종로구","10분위","직장","가입자","명","8602",
"종로구","10분위","직장","평균보험료","원","413787",
"종로구","10분위","직장","적용인구","명","22328",
"종로구","10분위","근로자","가입자","명","7080",
"종로구","10분위","근로자","평균보험료","원","438868",
"종로구","10분위","근로자","적용인구","명","18115",
"종로구","10분위","공교","가입자","명","1522",
"종로구","10분위","공교","평균보험료","원","297114",
"종로구","10분위","공교","적용인구","명","4213",
"종로구","10분위","지역","세대수","세대","4463",
"종로구","10분위","지역","평균보험료","원","418010",
"종로구","10분위","지역","적용인구","명","9660",
"중구","계","계","세대수","세대","76908",
"중구","계","계","평균보험료","원","125903",
"중구","계","계","적용인구","명","131652",
"중구","계","직장","가입자","명","50300",
"중구","계","직장","평균보험료","원","130673",
"중구","계","직장","적용인구","명","88351",
"중구","계","근로자","가입자","명","48012",
"중구","계","근로자","평균보험료","원","128774",
"중구","계","근로자","적용인구","명","83619",
"중구","계","공교","가입자","명","2288",
"중구","계","공교","평균보험료","원","170524",
"중구","계","공교","적용인구","명","4732",
"중구","계","지역","세대수","세대","26608",
"중구","계","지역","평균보험료","원","116885",
"중구","계","지역","적용인구","명","43301",
"중구","1분위","계","세대수","세대","6769",
"중구","1분위","계","평균보험료","원","26712",
"중구","1분위","계","적용인구","명","9932",
"중구","1분위","직장","가입자","명","5467",
"중구","1분위","직장","평균보험료","원","31296",
"중구","1분위","직장","적용인구","명","8244",
"중구","1분위","근로자","가입자","명","5462",
"중구","1분위","근로자","평균보험료","원","31286",
"중구","1분위","근로자","적용인구","명","8234",
"중구","1분위","공교","가입자","명","5",
"중구","1분위","공교","평균보험료","원","42362",
"중구","1분위","공교","적용인구","명","10",
"중구","1분위","지역","세대수","세대","1302",
"중구","1분위","지역","평균보험료","원","7466",
"중구","1분위","지역","적용인구","명","1688",
"중구","2분위","계","세대수","세대","5716",
"중구","2분위","계","평균보험료","원","42557",
"중구","2분위","계","적용인구","명","8487",
"중구","2분위","직장","가입자","명","4358",
"중구","2분위","직장","평균보험료","원","51815",
"중구","2분위","직장","적용인구","명","6745",
"중구","2분위","근로자","가입자","명","4339",
"중구","2분위","근로자","평균보험료","원","51812",
"중구","2분위","근로자","적용인구","명","6719",
"중구","2분위","공교","가입자","명","19",
"중구","2분위","공교","평균보험료","원","52580",
"중구","2분위","공교","적용인구","명","26",
"중구","2분위","지역","세대수","세대","1358",
"중구","2분위","지역","평균보험료","원","12849",
"중구","2분위","지역","적용인구","명","1742",
"중구","3분위","계","세대수","세대","7792",
"중구","3분위","계","평균보험료","원","43768",
"중구","3분위","계","적용인구","명","11259",
"중구","3분위","직장","가입자","명","5084",
"중구","3분위","직장","평균보험료","원","58952",
"중구","3분위","직장","적용인구","명","7620",
"중구","3분위","근로자","가입자","명","5055",
"중구","3분위","근로자","평균보험료","원","58950",
"중구","3분위","근로자","적용인구","명","7576",
"중구","3분위","공교","가입자","명","29",
"중구","3분위","공교","평균보험료","원","59312",
"중구","3분위","공교","적용인구","명","44",
"중구","3분위","지역","세대수","세대","2708",
"중구","3분위","지역","평균보험료","원","15261",
"중구","3분위","지역","적용인구","명","3639",
"중구","4분위","계","세대수","세대","9819",
"중구","4분위","계","평균보험료","원","45703",
"중구","4분위","계","적용인구","명","13922",
"중구","4분위","직장","가입자","명","4992",
"중구","4분위","직장","평균보험료","원","66509",
"중구","4분위","직장","적용인구","명","7554",
"중구","4분위","근로자","가입자","명","4917",
"중구","4분위","근로자","평균보험료","원","66509",
"중구","4분위","근로자","적용인구","명","7448",
"중구","4분위","공교","가입자","명","75",
"중구","4분위","공교","평균보험료","원","66513",
"중구","4분위","공교","적용인구","명","106",
"중구","4분위","지역","세대수","세대","4827",
"중구","4분위","지역","평균보험료","원","24186",
"중구","4분위","지역","적용인구","명","6368",
"중구","5분위","계","세대수","세대","6621",
"중구","5분위","계","평균보험료","원","68323",
"중구","5분위","계","적용인구","명","10321",
"중구","5분위","직장","가입자","명","4726",
"중구","5분위","직장","평균보험료","원","77313",
"중구","5분위","직장","적용인구","명","7254",
"중구","5분위","근로자","가입자","명","4588",
"중구","5분위","근로자","평균보험료","원","77319",
"중구","5분위","근로자","적용인구","명","7076",
"중구","5분위","공교","가입자","명","138",
"중구","5분위","공교","평균보험료","원","77104",
"중구","5분위","공교","적용인구","명","178",
"중구","5분위","지역","세대수","세대","1895",
"중구","5분위","지역","평균보험료","원","45904",
"중구","5분위","지역","적용인구","명","3067",
"중구","6분위","계","세대수","세대","6391",
"중구","6분위","계","평균보험료","원","86552",
"중구","6분위","계","적용인구","명","10396",
"중구","6분위","직장","가입자","명","4573",
"중구","6분위","직장","평균보험료","원","91467",
"중구","6분위","직장","적용인구","명","7392",
"중구","6분위","근로자","가입자","명","4345",
"중구","6분위","근로자","평균보험료","원","91423",
"중구","6분위","근로자","적용인구","명","7063",
"중구","6분위","공교","가입자","명","228",
"중구","6분위","공교","평균보험료","원","92298",
"중구","6분위","공교","적용인구","명","329",
"중구","6분위","지역","세대수","세대","1818",
"중구","6분위","지역","평균보험료","원","74189",
"중구","6분위","지역","적용인구","명","3004",
"중구","7분위","계","세대수","세대","8060",
"중구","7분위","계","평균보험료","원","107499",
"중구","7분위","계","적용인구","명","12477",
"중구","7분위","직장","가입자","명","4468",
"중구","7분위","직장","평균보험료","원","110572",
"중구","7분위","직장","적용인구","명","7522",
"중구","7분위","근로자","가입자","명","4152",
"중구","7분위","근로자","평균보험료","원","110529",
"중구","7분위","근로자","적용인구","명","7031",
"중구","7분위","공교","가입자","명","316",
"중구","7분위","공교","평균보험료","원","111139",
"중구","7분위","공교","적용인구","명","491",
"중구","7분위","지역","세대수","세대","3592",
"중구","7분위","지역","평균보험료","원","103676",
"중구","7분위","지역","적용인구","명","4955",
"중구","8분위","계","세대수","세대","7464",
"중구","8분위","계","평균보험료","원","137184",
"중구","8분위","계","적용인구","명","13735",
"중구","8분위","직장","가입자","명","4859",
"중구","8분위","직장","평균보험료","원","138197",
"중구","8분위","직장","적용인구","명","8990",
"중구","8분위","근로자","가입자","명","4465",
"중구","8분위","근로자","평균보험료","원","138156",
"중구","8분위","근로자","적용인구","명","8217",
"중구","8분위","공교","가입자","명","394",
"중구","8분위","공교","평균보험료","원","138664",
"중구","8분위","공교","적용인구","명","773",
"중구","8분위","지역","세대수","세대","2605",
"중구","8분위","지역","평균보험료","원","135295",
"중구","8분위","지역","적용인구","명","4745",
"중구","9분위","계","세대수","세대","7826",
"중구","9분위","계","평균보험료","원","184143",
"중구","9분위","계","적용인구","명","16063",
"중구","9분위","직장","가입자","명","5073",
"중구","9분위","직장","평균보험료","원","181935",
"중구","9분위","직장","적용인구","명","10652",
"중구","9분위","근로자","가입자","명","4566",
"중구","9분위","근로자","평균보험료","원","181579",
"중구","9분위","근로자","적용인구","명","9373",
"중구","9분위","공교","가입자","명","507",
"중구","9분위","공교","평균보험료","원","185134",
"중구","9분위","공교","적용인구","명","1279",
"중구","9분위","지역","세대수","세대","2753",
"중구","9분위","지역","평균보험료","원","188213",
"중구","9분위","지역","적용인구","명","5411",
"중구","10분위","계","세대수","세대","10450",
"중구","10분위","계","평균보험료","원","395413",
"중구","10분위","계","적용인구","명","25060",
"중구","10분위","직장","가입자","명","6700",
"중구","10분위","직장","평균보험료","원","398820",
"중구","10분위","직장","적용인구","명","16378",
"중구","10분위","근로자","가입자","명","6123",
"중구","10분위","근로자","평균보험료","원","409139",
"중구","10분위","근로자","적용인구","명","14882",
"중구","10분위","공교","가입자","명","577",
"중구","10분위","공교","평균보험료","원","289323",
"중구","10분위","공교","적용인구","명","1496",
"중구","10분위","지역","세대수","세대","3750",
"중구","10분위","지역","평균보험료","원","389326",
"중구","10분위","지역","적용인구","명","8682",
"용산구","계","계","세대수","세대","125236",
"용산구","계","계","평균보험료","원","156672",
"용산구","계","계","적용인구","명","219341",
"용산구","계","직장","가입자","명","85036",
"용산구","계","직장","평균보험료","원","161635",
"용산구","계","직장","적용인구","명","154119",
"용산구","계","근로자","가입자","명","80034",
"용산구","계","근로자","평균보험료","원","159277",
"용산구","계","근로자","적용인구","명","143202",
"용산구","계","공교","가입자","명","5002",
"용산구","계","공교","평균보험료","원","199373",
"용산구","계","공교","적용인구","명","10917",
"용산구","계","지역","세대수","세대","40200",
"용산구","계","지역","평균보험료","원","146172",
"용산구","계","지역","적용인구","명","65222",
"용산구","1분위","계","세대수","세대","10175",
"용산구","1분위","계","평균보험료","원","27130",
"용산구","1분위","계","적용인구","명","15019",
"용산구","1분위","직장","가입자","명","8523",
"용산구","1분위","직장","평균보험료","원","30958",
"용산구","1분위","직장","적용인구","명","12844",
"용산구","1분위","근로자","가입자","명","8516",
"용산구","1분위","근로자","평균보험료","원","30959",
"용산구","1분위","근로자","적용인구","명","12835",
"용산구","1분위","공교","가입자","명","7",
"용산구","1분위","공교","평균보험료","원","29629",
"용산구","1분위","공교","적용인구","명","9",
"용산구","1분위","지역","세대수","세대","1652",
"용산구","1분위","지역","평균보험료","원","7383",
"용산구","1분위","지역","적용인구","명","2175",
"용산구","2분위","계","세대수","세대","8805",
"용산구","2분위","계","평균보험료","원","42055",
"용산구","2분위","계","적용인구","명","13163",
"용산구","2분위","직장","가입자","명","6573",
"용산구","2분위","직장","평균보험료","원","51965",
"용산구","2분위","직장","적용인구","명","10187",
"용산구","2분위","근로자","가입자","명","6545",
"용산구","2분위","근로자","평균보험료","원","51962",
"용산구","2분위","근로자","적용인구","명","10154",
"용산구","2분위","공교","가입자","명","28",
"용산구","2분위","공교","평균보험료","원","52556",
"용산구","2분위","공교","적용인구","명","33",
"용산구","2분위","지역","세대수","세대","2232",
"용산구","2분위","지역","평균보험료","원","12873",
"용산구","2분위","지역","적용인구","명","2976",
"용산구","3분위","계","세대수","세대","9981",
"용산구","3분위","계","평균보험료","원","45162",
"용산구","3분위","계","적용인구","명","14466",
"용산구","3분위","직장","가입자","명","6807",
"용산구","3분위","직장","평균보험료","원","59051",
"용산구","3분위","직장","적용인구","명","10117",
"용산구","3분위","근로자","가입자","명","6762",
"용산구","3분위","근로자","평균보험료","원","59044",
"용산구","3분위","근로자","적용인구","명","10056",
"용산구","3분위","공교","가입자","명","45",
"용산구","3분위","공교","평균보험료","원","60041",
"용산구","3분위","공교","적용인구","명","61",
"용산구","3분위","지역","세대수","세대","3174",
"용산구","3분위","지역","평균보험료","원","15377",
"용산구","3분위","지역","적용인구","명","4349",
"용산구","4분위","계","세대수","세대","13827",
"용산구","4분위","계","평균보험료","원","47423",
"용산구","4분위","계","적용인구","명","19631",
"용산구","4분위","직장","가입자","명","7327",
"용산구","4분위","직장","평균보험료","원","66525",
"용산구","4분위","직장","적용인구","명","11160",
"용산구","4분위","근로자","가입자","명","7212",
"용산구","4분위","근로자","평균보험료","원","66521",
"용산구","4분위","근로자","적용인구","명","11003",
"용산구","4분위","공교","가입자","명","115",
"용산구","4분위","공교","평균보험료","원","66783",
"용산구","4분위","공교","적용인구","명","157",
"용산구","4분위","지역","세대수","세대","6500",
"용산구","4분위","지역","평균보험료","원","25890",
"용산구","4분위","지역","적용인구","명","8471",
"용산구","5분위","계","세대수","세대","11208",
"용산구","5분위","계","평균보험료","원","66267",
"용산구","5분위","계","적용인구","명","17152",
"용산구","5분위","직장","가입자","명","7383",
"용산구","5분위","직장","평균보험료","원","77422",
"용산구","5분위","직장","적용인구","명","11236",
"용산구","5분위","근로자","가입자","명","7176",
"용산구","5분위","근로자","평균보험료","원","77416",
"용산구","5분위","근로자","적용인구","명","10952",
"용산구","5분위","공교","가입자","명","207",
"용산구","5분위","공교","평균보험료","원","77626",
"용산구","5분위","공교","적용인구","명","284",
"용산구","5분위","지역","세대수","세대","3825",
"용산구","5분위","지역","평균보험료","원","44737",
"용산구","5분위","지역","적용인구","명","5916",
"용산구","6분위","계","세대수","세대","10005",
"용산구","6분위","계","평균보험료","원","86612",
"용산구","6분위","계","적용인구","명","16110",
"용산구","6분위","직장","가입자","명","7132",
"용산구","6분위","직장","평균보험료","원","91571",
"용산구","6분위","직장","적용인구","명","11588",
"용산구","6분위","근로자","가입자","명","6798",
"용산구","6분위","근로자","평균보험료","원","91572",
"용산구","6분위","근로자","적용인구","명","11094",
"용산구","6분위","공교","가입자","명","334",
"용산구","6분위","공교","평균보험료","원","91533",
"용산구","6분위","공교","적용인구","명","494",
"용산구","6분위","지역","세대수","세대","2873",
"용산구","6분위","지역","평균보험료","원","74301",
"용산구","6분위","지역","적용인구","명","4522",
"용산구","7분위","계","세대수","세대","11278",
"용산구","7분위","계","평균보험료","원","108103",
"용산구","7분위","계","적용인구","명","18028",
"용산구","7분위","직장","가입자","명","7415",
"용산구","7분위","직장","평균보험료","원","110566",
"용산구","7분위","직장","적용인구","명","12643",
"용산구","7분위","근로자","가입자","명","6889",
"용산구","7분위","근로자","평균보험료","원","110556",
"용산구","7분위","근로자","적용인구","명","11818",
"용산구","7분위","공교","가입자","명","526",
"용산구","7분위","공교","평균보험료","원","110694",
"용산구","7분위","공교","적용인구","명","825",
"용산구","7분위","지역","세대수","세대","3863",
"용산구","7분위","지역","평균보험료","원","103377",
"용산구","7분위","지역","적용인구","명","5385",
"용산구","8분위","계","세대수","세대","12294",
"용산구","8분위","계","평균보험료","원","137488",
"용산구","8분위","계","적용인구","명","22309",
"용산구","8분위","직장","가입자","명","8317",
"용산구","8분위","직장","평균보험료","원","138403",
"용산구","8분위","직장","적용인구","명","15274",
"용산구","8분위","근로자","가입자","명","7597",
"용산구","8분위","근로자","평균보험료","원","138303",
"용산구","8분위","근로자","적용인구","명","13836",
"용산구","8분위","공교","가입자","명","720",
"용산구","8분위","공교","평균보험료","원","139467",
"용산구","8분위","공교","적용인구","명","1438",
"용산구","8분위","지역","세대수","세대","3977",
"용산구","8분위","지역","평균보험료","원","135573",
"용산구","8분위","지역","적용인구","명","7035",
"용산구","9분위","계","세대수","세대","14485",
"용산구","9분위","계","평균보험료","원","184639",
"용산구","9분위","계","적용인구","명","29517",
"용산구","9분위","직장","가입자","명","9652",
"용산구","9분위","직장","평균보험료","원","182408",
"용산구","9분위","직장","적용인구","명","20317",
"용산구","9분위","근로자","가입자","명","8428",
"용산구","9분위","근로자","평균보험료","원","181961",
"용산구","9분위","근로자","적용인구","명","17310",
"용산구","9분위","공교","가입자","명","1224",
"용산구","9분위","공교","평균보험료","원","185480",
"용산구","9분위","공교","적용인구","명","3007",
"용산구","9분위","지역","세대수","세대","4833",
"용산구","9분위","지역","평균보험료","원","189094",
"용산구","9분위","지역","적용인구","명","9200",
"용산구","10분위","계","세대수","세대","23178",
"용산구","10분위","계","평균보험료","원","460560",
"용산구","10분위","계","적용인구","명","53946",
"용산구","10분위","직장","가입자","명","15907",
"용산구","10분위","직장","평균보험료","원","458526",
"용산구","10분위","직장","적용인구","명","38753",
"용산구","10분위","근로자","가입자","명","14111",
"용산구","10분위","근로자","평균보험료","원","477704",
"용산구","10분위","근로자","적용인구","명","34144",
"용산구","10분위","공교","가입자","명","1796",
"용산구","10분위","공교","평균보험료","원","307847",
"용산구","10분위","공교","적용인구","명","4609",
"용산구","10분위","지역","세대수","세대","7271",
"용산구","10분위","지역","평균보험료","원","465010",
"용산구","10분위","지역","적용인구","명","15193",
"성동구","계","계","세대수","세대","160604",
"성동구","계","계","평균보험료","원","132431",
"성동구","계","계","적용인구","명","294225",
"성동구","계","직장","가입자","명","112516",
"성동구","계","직장","평균보험료","원","134717",
"성동구","계","직장","적용인구","명","213678",
"성동구","계","근로자","가입자","명","106525",
"성동구","계","근로자","평균보험료","원","132451",
"성동구","계","근로자","적용인구","명","200370",
"성동구","계","공교","가입자","명","5991",
"성동구","계","공교","평균보험료","원","175010",
"성동구","계","공교","적용인구","명","13308",
"성동구","계","지역","세대수","세대","48088",
"성동구","계","지역","평균보험료","원","127083",
"성동구","계","지역","적용인구","명","80547",
"성동구","1분위","계","세대수","세대","13542",
"성동구","1분위","계","평균보험료","원","27260",
"성동구","1분위","계","적용인구","명","20559",
"성동구","1분위","직장","가입자","명","11127",
"성동구","1분위","직장","평균보험료","원","31527",
"성동구","1분위","직장","적용인구","명","17305",
"성동구","1분위","근로자","가입자","명","11115",
"성동구","1분위","근로자","평균보험료","원","31525",
"성동구","1분위","근로자","적용인구","명","17283",
"성동구","1분위","공교","가입자","명","12",
"성동구","1분위","공교","평균보험료","원","32768",
"성동구","1분위","공교","적용인구","명","22",
"성동구","1분위","지역","세대수","세대","2415",
"성동구","1분위","지역","평균보험료","원","7602",
"성동구","1분위","지역","적용인구","명","3254",
"성동구","2분위","계","세대수","세대","11773",
"성동구","2분위","계","평균보험료","원","42796",
"성동구","2분위","계","적용인구","명","17919",
"성동구","2분위","직장","가입자","명","9034",
"성동구","2분위","직장","평균보험료","원","51874",
"성동구","2분위","직장","적용인구","명","14200",
"성동구","2분위","근로자","가입자","명","8991",
"성동구","2분위","근로자","평균보험료","원","51876",
"성동구","2분위","근로자","적용인구","명","14141",
"성동구","2분위","공교","가입자","명","43",
"성동구","2분위","공교","평균보험료","원","51619",
"성동구","2분위","공교","적용인구","명","59",
"성동구","2분위","지역","세대수","세대","2739",
"성동구","2분위","지역","평균보험료","원","12854",
"성동구","2분위","지역","적용인구","명","3719",
"성동구","3분위","계","세대수","세대","13987",
"성동구","3분위","계","평균보험료","원","44791",
"성동구","3분위","계","적용인구","명","20659",
"성동구","3분위","직장","가입자","명","9430",
"성동구","3분위","직장","평균보험료","원","59015",
"성동구","3분위","직장","적용인구","명","14428",
"성동구","3분위","근로자","가입자","명","9366",
"성동구","3분위","근로자","평균보험료","원","59012",
"성동구","3분위","근로자","적용인구","명","14337",
"성동구","3분위","공교","가입자","명","64",
"성동구","3분위","공교","평균보험료","원","59445",
"성동구","3분위","공교","적용인구","명","91",
"성동구","3분위","지역","세대수","세대","4557",
"성동구","3분위","지역","평균보험료","원","15357",
"성동구","3분위","지역","적용인구","명","6231",
"성동구","4분위","계","세대수","세대","18076",
"성동구","4분위","계","평균보험료","원","47722",
"성동구","4분위","계","적용인구","명","26362",
"성동구","4분위","직장","가입자","명","10033",
"성동구","4분위","직장","평균보험료","원","66498",
"성동구","4분위","직장","적용인구","명","15666",
"성동구","4분위","근로자","가입자","명","9878",
"성동구","4분위","근로자","평균보험료","원","66496",
"성동구","4분위","근로자","적용인구","명","15456",
"성동구","4분위","공교","가입자","명","155",
"성동구","4분위","공교","평균보험료","원","66609",
"성동구","4분위","공교","적용인구","명","210",
"성동구","4분위","지역","세대수","세대","8043",
"성동구","4분위","지역","평균보험료","원","24301",
"성동구","4분위","지역","적용인구","명","10696",
"성동구","5분위","계","세대수","세대","13624",
"성동구","5분위","계","평균보험료","원","69458",
"성동구","5분위","계","적용인구","명","21536",
"성동구","5분위","직장","가입자","명","10189",
"성동구","5분위","직장","평균보험료","원","77398",
"성동구","5분위","직장","적용인구","명","16027",
"성동구","5분위","근로자","가입자","명","9911",
"성동구","5분위","근로자","평균보험료","원","77376",
"성동구","5분위","근로자","적용인구","명","15645",
"성동구","5분위","공교","가입자","명","278",
"성동구","5분위","공교","평균보험료","원","78200",
"성동구","5분위","공교","적용인구","명","382",
"성동구","5분위","지역","세대수","세대","3435",
"성동구","5분위","지역","평균보험료","원","45905",
"성동구","5분위","지역","적용인구","명","5509",
"성동구","6분위","계","세대수","세대","13260",
"성동구","6분위","계","평균보험료","원","87228",
"성동구","6분위","계","적용인구","명","22023",
"성동구","6분위","직장","가입자","명","10044",
"성동구","6분위","직장","평균보험료","원","91385",
"성동구","6분위","직장","적용인구","명","16824",
"성동구","6분위","근로자","가입자","명","9551",
"성동구","6분위","근로자","평균보험료","원","91395",
"성동구","6분위","근로자","적용인구","명","16119",
"성동구","6분위","공교","가입자","명","493",
"성동구","6분위","공교","평균보험료","원","91196",
"성동구","6분위","공교","적용인구","명","705",
"성동구","6분위","지역","세대수","세대","3216",
"성동구","6분위","지역","평균보험료","원","74244",
"성동구","6분위","지역","적용인구","명","5199",
"성동구","7분위","계","세대수","세대","14636",
"성동구","7분위","계","평균보험료","원","108452",
"성동구","7분위","계","적용인구","명","24838",
"성동구","7분위","직장","가입자","명","10492",
"성동구","7분위","직장","평균보험료","원","110531",
"성동구","7분위","직장","적용인구","명","18696",
"성동구","7분위","근로자","가입자","명","9671",
"성동구","7분위","근로자","평균보험료","원","110514",
"성동구","7분위","근로자","적용인구","명","17318",
"성동구","7분위","공교","가입자","명","821",
"성동구","7분위","공교","평균보험료","원","110731",
"성동구","7분위","공교","적용인구","명","1378",
"성동구","7분위","지역","세대수","세대","4144",
"성동구","7분위","지역","평균보험료","원","103189",
"성동구","7분위","지역","적용인구","명","6142",
"성동구","8분위","계","세대수","세대","16976",
"성동구","8분위","계","평균보험료","원","137392",
