,이름,지번주소,위도,경도
140,도당비젼스터디보습학원,경기도 부천시 도당동 58-2번지 정남프라자 3층 일부,37.51983777,126.7894398
141,상록수음악학원,경기도 부천시 도당동 108-12번지 2층,37.51976186,126.7923246
142,에듀탑보습학원,경기도 부천시 도당동 118-10번지 한영빌딩 가동 2층 전체,37.51928483,126.7925974
143,멘토의힘영수보습학원,경기도 부천시 도당동 108-12번지 3층,37.51976186,126.7923246
144,그림나라보습학원,경기도 부천시 도당동 130-6번지 3층,37.51926194,126.794939
145,새솔보습학원,경기도 부천시 도당동 118-4번지 새솔미술속셈학원 2층,37.51925962,126.7936268
146,캠퍼스보습학원,경기도 부천시 도당동 284-1번지 3층 우측 안영환치과의원,37.50706226,126.7799646
147,상상하이스트보습학원,경기도 부천시 도당동 108-7번지 2층,37.51992309,126.7917925
148,푸르넷아카데미도당보습학원,경기도 부천시 도당동 105-4번지 2층 전체,37.51859069,126.7923844
149,한수보습학원,경기도 부천시 도당동 61-2번지 영진빌딩 4층,37.52028937,126.7900494
150,민족영재보습어학원,"경기도 부천시 도당동 43-2번지 2층,3층",37.51940105,126.7870996
151,대산보습학원,경기도 부천시 도당동 131-1번지 3층,37.51981013,126.7941343
152,유은하음악학원,경기도 부천시 도당동 63-12번지 2층,37.51925493,126.7909912
153,위즈덤플러스보습미술학원,"경기도 부천시 도당동 264-9번지 1층,2층",37.50603662,126.7855999
154,에로이카음악학원,경기도 부천시 도당동 108번지 청오빌딩 301호,37.51992244,126.7914305
155,목화음악학원,경기도 부천시 도당동 108-1번지 4층,37.51992394,126.7922675
156,잉글리쉬무무도당보습학원,경기도 부천시 도당동 62-2번지 2층 일부,37.51983971,126.7905145
157,새아르떼음악학원,"경기도 부천시 범박동 152-2번지 현대홈타운 범박힐스테이트4단지상가동 202호,203호",37.4715401,126.807687
158,김태균수학클리닉김태균엘리트(ELITE)수학범박캠퍼스보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 611호,37.47112897,126.8097116
159,토리의작업실미술학원,경기도 부천시 범박동 151-2번지 203호 및 203-1호,37.46899056,126.8078519
160,메릭스해법수학보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 305호,37.47112897,126.8097116
161,대치동수학입시학원,경기도 부천시 범박동 155-2번지 현대리치모아 5층 502호,37.47112897,126.8097116
162,모짜르트음악학원,경기도 부천시 범박동 35-1번지 신한은행365 4층 401호,37.47120869,126.8088749
163,나은아음악학원,경기도 부천시 범박동 150-2번지 현대홈타운 301동 304호,37.46906842,126.8059074
164,뮤직아이드림범박음악학원,경기도 부천시 범박동 152-2번지 현대홈타운 3층 304호,37.4715401,126.807687
165,샤인어학보습학원,경기도 부천시 범박동 232-4번지 1층 일부,37.46826202,126.8141841
166,샤인어학보습학원,경기도 부천시 범박동 232-4번지 1층 일부,37.46826202,126.8141841
167,치동이네숲독서실,경기도 부천시 범박동 155-2번지 현대리치모아 5층 505호,37.47112897,126.8097116
168,소사대성N(엔)입시학원,경기도 부천시 범박동 155-2번지 현대리치모아 512호,37.47112897,126.8097116
169,EZ(이지)독서논술보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 301호,37.47112897,126.8097116
170,프라임보습학원,경기도 부천시 범박동 4-1번지 승일빌딩 4층,37.47376241,126.8112649
171,쇼팽음악학원,경기도 부천시 범박동 155-1번지 현대홈타운3단지 상가동 302호,37.47254462,126.8103749
172,유레카수학보습학원,경기도 부천시 범박동 44-17번지 401호,37.46940739,126.8092978
173,범박이아이이어학원,경기도 부천시 범박동 44-17번지 5층,37.46940739,126.8092978
174,EK(이케이)어학원,경기도 부천시 범박동 155-2번지 현대리치모아 607호,37.47112897,126.8097116
175,퍼스트넷보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 5층 501호,37.47112897,126.8097116
176,소사대성N(엔)어학원,경기도 부천시 범박동 155-2번지 현대리치모아 506호,37.47112897,126.8097116
177,하연과학보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 304호,37.47112897,126.8097116
178,이보영의토킹클럽범박어학원,경기도 부천시 범박동 155-2번지 현대리치모아 603호,37.47112897,126.8097116
179,성신음악학원,경기도 부천시 범박동 151-2번지 현대홈타운5단지 상가 2층 204호,37.46899056,126.8078519
180,영재바둑교습소,"경기도 부천시 범박동 154-2번지 부천 범박 힐스테이트 1단지 305호 304호,305호",37.47454366,126.8096576
181,생각하는손가락미술교습소,경기도 부천시 범박동 35-1번지 신한은행365 401호 우측 일부,37.47120869,126.8088749
182,조이해법영어교습소,경기도 부천시 범박동 155-1번지 현대홈타운 상가동 301호,37.47254462,126.8103749
183,범박영재들의미술상자미술교습소,경기도 부천시 범박동 155-1번지 부천범박힐스테이트3단지 202호,37.47254462,126.8103749
184,범박해법중국어교습소,경기도 부천시 범박동 155-1번지 부천범박힐스테이트3단지 3층 303호,37.47254462,126.8103749
185,일신e해법수학교습소,경기도 부천시 범박동 152-2번지 현대홈타운 205호 일부,37.4715401,126.807687
186,노랑캔버스미술교습소,경기도 부천시 범박동 154-2번지 부천 범박 힐스테이트 1단지 상가동 204호,37.47454366,126.8096576
187,강해수학교습소,경기도 부천시 범박동 150-2번지 현대홈타운 상가동 302호,37.46906842,126.8059074
188,TED(테드)영어교습소,경기도 부천시 범박동 152-2번지 현대홈타운 205호 일부,37.4715401,126.807687
189,시카고잉글리쉬(CHICAGO ENGLISH)영어교습소,경기도 부천시 범박동 153-2번지 현대홈타운 306호,37.47426125,126.8077704
190,조민호바른영어교습소,"경기도 부천시 범박동 151-2번지 현대홈타운 2층 201,202호",37.46899056,126.8078519
191,태영영어교습소,경기도 부천시 범박동 44-8번지 경원프라자 103호,37.46926392,126.8097164
192,G(지)-2영어교습소,경기도 부천시 범박동 151-2번지 현대홈타운 상가동 3층 301호,37.46899056,126.8078519
193,탑해법영어교습소,경기도 부천시 범박동 152-2번지 현대홈타운4단지 상가 206호 일부,37.4715401,126.807687
194,민아트미술교습소,경기도 부천시 범박동 150-2번지 현대홈타운 현대힐스테이트6단지 상가 303호,37.46906842,126.8059074
195,작가미술교습소,경기도 부천시 범박동 151-2번지 현대홈타운 상가동 303호,37.46899056,126.8078519
196,삼성영어일신영어교습소,경기도 부천시 범박동 152-2번지 현대홈타운 204호,37.4715401,126.807687
197,오름영어교습소,경기도 부천시 범박동 150-2번지 현대홈타운 1층 105호 우측 일부,37.46906842,126.8059074
198,빨간펜수학의달인소사수학교습소,경기도 부천시 범박동 153-2번지 현대홈타운2단지 상가동 201호,37.47426125,126.8077704
199,오름수학교습소,경기도 부천시 범박동 150-2번지 현대홈타운 1층 105호 좌측 일부,37.46906842,126.8059074
200,Q(큐)수학교습소,경기도 부천시 범박동 154-2번지 부천범박힐스테이트1단지 2층 203호,37.47454366,126.8096576
201,예꼴미술교습소,경기도 부천시 범박동 152-2번지 현대홈타운4단지 상가 201호,37.4715401,126.807687
202,요미요미소사미술학원,경기도 부천시 범박동 155-2번지 현대리치모아 415호,37.47112897,126.8097116
203,SAM(에스에이엠)보습학원,경기도 부천시 범박동 32-6번지 범박동근린생활시설 4층,37.47298335,126.8086894
204,범박옥스퍼드어학원,경기도 부천시 범박동 155-2번지 현대리치모아 507호,37.47112897,126.8097116
205,범박뮤즈음악학원,경기도 부천시 범박동 155-2번지 현대리치모아 605-2,37.47112897,126.8097116
206,김승현의Math K(매쓰케이)수학보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 608호,37.47112897,126.8097116
207,이투엠보습학원,경기도 부천시 범박동 154-2번지 부천범박힐스테이트1단지상가동 2층 201~202호,37.47454366,126.8096576
208,정윤능률보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 605-1호,37.47112897,126.8097116
209,소사정상어학원,경기도 부천시 범박동 155-2번지 현대리치모아 503호,37.47112897,126.8097116
210,라이프러리독서실,경기도 부천시 범박동 155-2번지 현대리치모아 604호,37.47112897,126.8097116
211,숲을보는보습학원,경기도 부천시 범박동 153-2번지 현대홈타운 2단지 상가동 301호 302호,37.47426125,126.8077704
212,범박C&C(씨앤씨)미술학원,경기도 부천시 범박동 155-2번지 현대리치모아 602호,37.47112897,126.8097116
213,선진수학보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 613호,37.47112897,126.8097116
214,예당독서실,"경기도 부천시 범박동 155-2번지 현대리치모아 609호,610호",37.47112897,126.8097116
215,챔버오케스트라음악학원,경기도 부천시 범박동 155-2번지 현대리치모아 5층 509호,37.47112897,126.8097116
216,EJ&apos;s(이제이스)음악학원,"경기도 부천시 범박동 154-2번지 상가동 306, 307호",37.47454366,126.8096576
217,생각키움보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 3층 307호,37.47112897,126.8097116
218,하라음악학원,경기도 부천시 범박동 151-2번지 현대홈타운5단지 상가 3층 304호,37.46899056,126.8078519
219,공감국어와논술보습학원,경기도 부천시 범박동 32-6번지 범박동근린생활시설 5층,37.47298335,126.8086894
220,브니엘음악학원,경기도 부천시 범박동 155-2번지 현대리치모아 4층 402호,37.47112897,126.8097116
221,"봄,미술학원",경기도 부천시 범박동 155-2번지 현대리치모아 504-2호,37.47112897,126.8097116
222,대치동수학투혼관입시학원,경기도 부천시 범박동 155-2번지 현대리치모아 508호,37.47112897,126.8097116
223,BigApple(빅애플)영어보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 513호,37.47112897,126.8097116
224,범박한솔플러스수학보습학원,경기도 부천시 범박동 155-2번지 현대리치모아 5층 504-1호,37.47112897,126.8097116
225,풀향기산소독서실,경기도 부천시 삼정동 342-3번지 4층,37.51483778,126.7705986
226,New(뉴)한림보습학원,경기도 부천시 삼정동 295-16번지 2층 일부,37.51820574,126.7697172
227,부천해법중국어보습학원,경기도 부천시 삼정동 308번지 2층 일부,37.51717075,126.7702973
228,연세피아노학원,경기도 부천시 삼정동 296-12번지,37.51848466,126.769524
229,삼정보습학원,경기도 부천시 삼정동 294-5번지 2층 전체,37.5168715,126.7693254
230,형상미술학원,경기도 부천시 삼정동 296-13번지 3층 일부,37.51851212,126.7697389
231,EMI(이엠아이)보습학원,경기도 부천시 삼정동 296-13번지 3층 일부,37.51851212,126.7697389
232,PLAN A플랜에이입시학원,경기도 부천시 상동 535-1번지 뱅뱅플라자 802호,37.5072624,126.7538609
233,임병희음악학원,경기도 부천시 상동 392번지 한아름상가 207~208호,37.495009,126.749661
234,더영수보습학원,경기도 부천시 상동 533-3번지 아트프라자 6층 601호 일부,37.5076517,126.7505005
235,연곡서예한문학원,경기도 부천시 상동 535-3번지 썬프라자 504호,37.50690193,126.7538281
236,SKY(스카이)뷰독서실,경기도 부천시 상동 544-6번지 센타프라자 8층 802,37.50451114,126.7523319
237,아르케보습학원,경기도 부천시 상동 537-1번지 크라운빌딩 601호,37.50697921,126.7563047
238,예현음악학원,경기도 부천시 상동 544-11번지 새롬프라자 504호,37.50367292,126.7521877
239,이튼키즈영어보습학원,경기도 부천시 상동 523-8번지 에이스프라자 502호 일부,37.51259337,126.7524972
240,Kids Play English(키즈플레이잉글리시)보습학원,경기도 부천시 상동 546-10번지 월드프라자 4층 401호,37.50373464,126.7515542
241,브레인사고력보습학원,경기도 부천시 상동 535-4번지 다인타운 7층 701호,37.50670367,126.7538062
242,코드원독서실,경기도 부천시 상동 544-10번지 한빛프라자 8층 803호,37.50395234,126.7522433
243,EM(이엠)대한입시학원,경기도 부천시 상동 544-11번지 새롬프라자15차 5층 508호,37.50367292,126.7521877
244,회화공감미술학원,경기도 부천시 상동 534-5번지 현해프라자 4층 403호,37.5065933,126.7527434
245,삼성영어반달마을보습학원,"경기도 부천시 상동 395번지 2층 203호, 3층 303호",37.49337612,126.7529119
246,폭스영어전문입시학원,경기도 부천시 상동 535-3번지 썬프라자 702호,37.50690193,126.7538281
247,와이즈리더영어보습학원,경기도 부천시 상동 535-1번지 뱅뱅프라자 406호,37.5072624,126.7538609
248,사계국어입시학원,경기도 부천시 상동 534-1번지 승재 프라자 604호 일부,37.50739566,126.7529669
249,상동정상어학원,"경기도 부천시 상동 535-3번지 5층 502호, 6층 604호, 605호",37.50690193,126.7538281
250,아크로보습학원,경기도 부천시 상동 328-11번지 화경빌딩 2층,37.48812068,126.7647113
251,G1230고등부입시외국어학원,"경기도 부천시 상동 535-1번지 뱅뱅프라자 505, 506, 507, 508호",37.5072624,126.7538609
252,유플러스보습학원,경기도 부천시 상동 533-10번지 토성프라자텔 405호,37.50748381,126.7520505
253,Angel&Music(앤젤앤뮤직)음악학원,경기도 부천시 상동 415번지 사랑마을 상가 3층 301호 일부,37.49584612,126.7578227
254,에이펙스정보처리기술융합학원,경기도 부천시 상동 533-11번지 부건프라자 602호 일부,37.50743028,126.7522995
255,JustOne(저스트원)영수보습학원,경기도 부천시 상동 226-1번지 3층 일부,37.49284323,126.7609421
256,보스톤캠퍼스어학원,경기도 부천시 상동 520-12번지 광서유치원 4층 401호,37.5133674,126.75211
257,써니스쿨어학원,경기도 부천시 상동 538-1번지 효성프라자 308호,37.50678433,126.7579114
258,라온보습학원,경기도 부천시 상동 536-2번지 월드컵타운 305호,37.50717415,126.7547433
259,파워서포트미용학원,경기도 부천시 상동 544-3번지 해피플러스 205호,37.50514991,126.7518887
260,수학상승곡선입시학원,경기도 부천시 상동 535-1번지 뱅뱅프라자 8층 805호,37.5072624,126.7538609
261,프라임영어수학보습학원,경기도 부천시 상동 536-1번지 보람프라자 703호,37.50720066,126.7544944
